"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"portsmouth","1980-81","third division","2","0","0","0","0","0","2","0"
"portsmouth","1981-82","third division","1","0","0","0","0","0","1","0"
"portsmouth","total","total","3","0","0","0","0","0","3","0"
"cardiff city","1986-87","fourth division","23","4","4","0","1","0","28","4"
"cardiff city","1987-88","fourth division","37","12","1","1","5","0","43","13"
"cardiff city","1988-89","third division","22","9","3","1","9","0","34","10"
"cardiff city","total","total","82","25","8","3","15","0","105","28"
"west bromwich albion","1988-89","second division","17","3","0","0","0","0","17","3"
"west bromwich albion","1989-90","second division","20","7","3","1","3","0","26","8"
"west bromwich albion","total","total","37","10","3","1","3","0","43","11"
"notts county","1989-90","third division","14","8","0","0","6","1","20","9"
"notts county","1990-91","second division","40","13","4","1","8","2","52","16"
"notts county","1991-92","first division","29","7","2","0","3","3","34","10"
"notts county","1992-93","first division","16","5","0","0","1","0","17","5"
"notts county","total","total","99","33","6","1","18","6","123","40"
"port vale","1992-93","second division","5","1","0","0","0","0","5","1"
"cambridge united","1992-93","first division","8","1","0","0","0","0","8","1"
