"jurisdiction","custody","custody","percent change incarceration rate from 2014/2015 to 2015/2016","community supervision","community supervision","percent change in community supervision rate from 2014/2015 to 2015/2016","total correctional services","total correctional services","percent change in total rate from 2014/2015 to 2015/2016","percent change in total rate from 2011/2012 to 2015/2016"
"jurisdiction","number","rate","percent change incarceration rate from 2014/2015 to 2015/2016","number","rate","percent change in community supervision rate from 2014/2015 to 2015/2016","number","rate","percent change in total rate from 2014/2015 to 2015/2016","percent change in total rate from 2011/2012 to 2015/2016"
"newfoundland and labrador","359","82","15","1,610","369","-2","1,968","452","1","-14"
"prince edward island","84","71","-20","824","698","-6","907","769","-8","-11"
"nova scotia","483","62","-5",".","..","..",".","..","..",".."
"new brunswick","442","71","8",".","..","..",".","..","..",".."
"quebec","5,097","76","-2","13,581","202","-2","18,678","277","-2","-4"
"ontario","7,960","72","1","43,977","396","-7","51,937","467","-6","-25"
"manitoba","2,424","242","0","7,202","719","-5","9,627","960","-4","-4"
"saskatchewan","1,812","207","6","6,495","742","16","8,307","948","14","10"
"alberta","3,673","112","10","8,767","267","..","12,441","379","..","-15"
"british columbia","2,653","69","9","12,146","316","-4","14,798","385","-2","-16"
"yukon","94","317","23","336","1,128","-8","431","1,445","-2","1"
"northwest territories","189","570","8","389","1,172","-13","578","1,742","-4","-33"
"nunavut","136","575","6","760","3,222","-13","895","3,797","-10","-28"
"provinces and territories-total","25,405","88","3","96,087","349","-4","120,568","438","-3","-16"
"federal","14,742","51","-4","8,215","28","3","22,956","79","-1","-6"
"total","40,147","139","0","..","..","..","..","..","..",".."
