"mean diameter","satellites of planets","satellites of planets","satellites of planets","satellites of planets","satellites of planets","satellites of planets","satellites of dwarf planets","satellites of dwarf planets","satellites of dwarf planets","satellites of dwarf planets","satellites of other minor planets","non-satellites for comparison"
"mean diameter","earth","mars","jupiter","saturn","uranus","neptune","pluto","makemake","haumea","eris","satellites of other minor planets","non-satellites for comparison"
"4,000-6,000","none","none","ganymede callisto","titan","none","none","none","none","none","none","none","mercury"
"3,000-4,000","moon","none","io europa","none","none","none","none","none","none","none","none","none"
"2,000-3,000","none","none","none","none","none","triton","none","none","none","none","none","eris pluto"
"1,000-2,000","none","none","none","rhea iapetus dione tethys","titania oberon umbriel ariel","none","charon","none","none","none","none","makemake haumea 2007 or10, quaoar"
"500-1,000","none","none","none","enceladus","none","none","none","none","none","dysnomia","none","sedna, ceres, salacia, orcus, pallas, vesta many more tnos"
"250-500","none","none","none","mimas hyperion","miranda","proteus nereid","none","none","hiʻiaka","none","orcus i vanth salacia i actaea","10 hygiea 704 interamnia 87 sylvia and many others"
"100-250","none","none","amalthea himalia thebe","phoebe janus epimetheus","sycorax puck portia","larissa galatea despina","none","s/2015 (136472) 1","namaka","none","s/2005 (82075) 1 sila-nunam i ceto i phorcys patroclus i menoetius ~21 more moons of tnos","3 juno 15760 albion 5 astraea 42355 typhon and many others"
"50-100","none","none","elara pasiphae","prometheus pandora","caliban juliet belinda cressida rosalind desdemona bianca","thalassa halimede neso naiad","none","none","none","none","quaoar i weywot 90 antiope i typhon i echidna logos i zoe 5 more moons of tnos","90 antiope 58534 logos 253 mathilde and many others"
"25-50","none","none","carme metis sinope lysithea ananke","siarnaq helene albiorix atlas pan","ophelia cordelia setebos prospero perdita stephano","sao laomedeia psamathe hippocamp","hydra nix","none","none","none","kalliope i linus","1036 ganymed 243 ida and many others"
"10-25","none","phobos deimos","leda adrastea","telesto paaliaq calypso ymir kiviuq tarvos ijiraq erriapus","mab cupid francisco ferdinand margaret trinculo","none","kerberos styx","none","none","none","762 pulcova i sylvia i romulus 624 hektor i skamandrios eugenia i petit-prince 121 hermione i 283 emma i 1313 berna i 107 camilla i","433 eros 1313 berna and many others"
"< 10","none","none","63 moons","36 moons","none","none","none","none","none","none","sylvia ii remus ida i dactyl and many others","many"
