"source country","household","household","census family","census family","census family"
"source country","average number of people per household","proportion of households with only one person","average number of children aged 0 to 14 among couples with children","proportion of couples with children in the family","proportion of persons living outside a census family"
"source country","number","percent","number","percent","percent"
"syria","4.8","3.6","2.8","85.4","4.2"
"iraq","4.0","13.4","2.0","74.1","9.6"
"afghanistan","5.4","3.0","2.4","71.8","3.5"
"eritrea","3.5","9.8","2.2","62.0","25.3"
"democratic republic of the congo","4.4","14.3","3.0","46.5","25.7"
"other countries","3.7","13.4","2.2","58.4","21.6"
"total, excluding syria","4.0","12.0","2.2","63.2","18.0"
"total","4.4","7.1","2.6","77.2","9.5"
