"","number of job vacancies","job vacancy rate","percentage of positions vacant for 90 days or more","long-term job vacancy rate"
"","thousands","percent","percent","percent"
"main industrial sector","377.5","2.4","9.3","0.23"
"construction","24.2","2.4","8.6","0.21"
"manufacturing","30.1","2.0","8.5","0.17"
"wholesale trade","15.1","1.9","9.6","0.18"
"retail trade","53.4","2.7","9.3","0.25"
"transportation and warehousing","17.4","2.3","9.5","0.22"
"professional, scientific and technical services","25.5","2.9","10.9","0.31"
"administrative and support services","30.7","3.8","6.3","0.24"
"educational services","9.7","0.8","8.9","0.07"
"health care and social assistance","37.9","2.0","13.7","0.27"
"accommodation and food services","52.5","4.0","7.1","0.28"
"other","80.9","2.4","9.9","0.24"
