"service use, age and sex","province level","province level","sublhin level","sublhin level","sublhin level","sublhin level"
"service use, age and sex","number","rate","median","range","range","coefficient of variation"
"service use, age and sex","number","rate","median","from","to","coefficient of variation"
"hospitalizations","","","","","",""
"total","29,540","40.9","40.7","19.4","80.9","25.6"
"men","15,407","43.1","42.7","20.9","82.8","25.3"
"women","14,180","38.9","38.2","14.5","78.3","27.2"
"emergency department visits","","","","","",""
"total","14,447","20.0","19.7","5.8","59.1","55.6"
"men","7,241","20.2","19.5","5.9","61.3","55.7"
"women","7,178","19.7","19.0","3.5","58.2","56.9"
"physician visits","","","","","",""
"total","108,934","150.8","151.5","92.0","201.3","13.2"
"35 to 49","8,517","78.6","73.1","36.0","131.8","21.3"
"50 to 64","29,211","122.4","118.9","74.8","176.2","17.9"
"65 or older","71,314","189.8","189.1","114.5","25.4","12.5"
"men","56,366","157.5","158.1","90.1","214.4","13.4"
"women","52,629","144.3","143.3","87.8","190.5","14.7"
