"location of sexual assault","men","men","men","women","women","women"
"location of sexual assault","percent","95% confidence interval","95% confidence interval","percent","95% confidence interval","95% confidence interval"
"location of sexual assault","percent","from","to","percent","from","to"
"on campus","39.9","32.7","47.5","37.0","33.1","41.0"
"learning environment","23.2","14.5","34.8","17.4","12.8","23.2"
"non-residential building","36.1","25.6","48.0","41.4","35.0","48.1"
"residence, excluding fraternity or sorority house","33.6","23.1","46.0","27.0","21.7","33.0"
"fraternity or sorority house on campus","f","..","..","10.8","7.1","16.0"
"other location on campus","16.7","9.4","27.9","25.6","20.0","32.1"
"off campus","70.3","62.8","76.9","77.2","73.6","80.5"
"another postsecondary school in canada","f","..","..","3.5","2.2","5.5"
"internship, job placement, practicum, volunteer","f","..","..","4.4","2.9","6.7"
"house or apartment, excluding fraternity or sorority house","52.0","42.9","61.0","50.8","46.4","55.2"
"fraternity or sorority house off campus","f","..","..","8.0","5.9","10.8"
"restaurant or bar","39.6","31.5","48.3","51.0","46.5","55.5"
"travelling to or from school","10.4","5.9","17.7","10.7","8.1","14.0"
"other location off campus","22.3","15.7","30.8","15.7","12.8","19.3"
