"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"fulham","1982-83","second division","6","1","0","0","1","0","0","0","7","1"
"fulham","1983-84","second division","41","4","2","0","5","0","0","0","48","4"
"fulham","1984-85","second division","38","4","1","0","3","1","0","0","42","5"
"fulham","1985-86","second division","35","4","1","0","4","1","2","0","42","5"
"fulham","1986-87","third division","25","1","0","0","0","0","2","0","27","1"
"fulham","total","total","145","14","4","0","13","2","4","0","166","16"
"stoke city","1987-88","second division","41","0","2","0","3","0","4","0","50","0"
"stoke city","1988-89","second division","41","1","3","0","1","0","1","0","46","1"
"stoke city","1989-90","second division","22","0","1","0","0","0","2","0","25","0"
"stoke city","1990-91","third division","20","0","0","0","1","0","1","0","22","0"
"stoke city","total","total","124","1","6","0","5","0","8","0","143","1"
"shrewsbury town","1991-92","third division","1","1","0","0","1","1","0","0","2","2"
"mansfield town","1991-92","fourth division","20","0","0","0","0","0","2","0","22","0"
"chesterfield","1992-93","third division","42","1","2","0","4","0","5","0","53","1"
"chesterfield","1993-94","third division","23","0","1","0","4","0","1","0","29","0"
"chesterfield","total","total","65","1","3","0","8","0","6","0","82","1"
"career total","career total","career total","355","17","13","0","27","3","20","0","415","20"
