"","first study permit obtained in","first study permit obtained in","first study permit obtained in"
"","1990 to 1994","1995 to 1999","2000 to 2004"
"","percentage","percentage","percentage"
"years of study in canada before landing","","",""
"2 years or less","42.6","33.6","20.6"
"3 to 4 years","40.5","42.9","52.7"
"5 years or more","16.9","23.5","26.7"
"had work permit in canada before landing","","",""
"with high skill","19.8","18.1","22.3"
"with low skill","4.1","2.5","3.6"
"skill level unknown","17.2","16.8","25.0"
"no work permit","58.9","62.5","49.1"
"age at immigration","","",""
"under 18","24.8","19.1","9.7"
"18 to 24","23.6","18.7","19.6"
"25 and over","51.6","62.2","70.8"
"education qualifications at landing","","",""
"primary and secondary","43.1","31.4","21.5"
"trade","5.3","2.9","2.1"
"postsecondary, other","15.4","16.7","20.1"
"bachelor","17.0","25.9","35.4"
"above bachelor","19.2","23.1","20.8"
"canadian official language ability at landing","","",""
"english mother tongue","17.9","15.6","10.2"
"french mother tongue","6.6","8.2","7.1"
"other mother tongue, speak english","54.6","55.1","62.6"
"other mother tongue, speak french","3.6","3.0","2.0"
"other mother tongues, speak english and french","5.1","8.5","11.3"
"no english or french","12.3","9.8","6.8"
"class of immigration","","",""
"economic, principal applicant","30.0","39.3","47.7"
"economic, spouse or dependant","32.1","25.8","22.0"
"family","30.4","27.7","22.5"
"refugee","4.7","6.6","7.7"
"other","2.9","0.6","0.1"
"number of observations","41,000","44,000","71,000"
