"selected industry, naics code, and company size","totalb","used for domestic r&da","used for domestic r&da","used for domestic r&da","used for domestic r&da","used for domestic r&da","used for domestic r&da"
"selected industry, naics code, and company size","totalb","totalb,c","land acquisition","buildings and land improvementd","equipment","capitalized software","all other and undistributede"
"all industries, 21-33, 42-81","665199","34743","659","4063","16393","9659","3969"
"manufacturing industries, 31-33","283452","18582","240","3047","11541","1750","2004"
"chemicals, 325","56821","5434","101","1705","2690","369","569"
"pharmaceuticals and medicines, 3254","22286","4275","76","1394","1972","360","473"
"other 325","34535","1159","25","311","718","9","96"
"machinery, 333","13194","1066","5","228","620","101","112"
"computer and electronic products, 334","38527","6350","25","541","4729","669","387"
"communication equipment, 3342","3862","788","","62","662","38","25"
"semiconductor and other electronic products, 3344","19366","2755","10","96","2089","338","222"
"other 334","15299","2807","14","383","1978","293","140"
"electrical equipment, appliance, and components, 335","4318","404","56","76","159","5","107"
"transportation equipment, 336","66386","2205","17","138","1643","178","229"
"motor vehicles, bodies, trailers, and parts, 3361-63","52122","1571","15","102","1161","142","150"
"aerospace products and parts, 3364","10893","492","","27","398","7","60"
"other 336","3371","142","1","9","84","29","19"
"manufacturing nec, other 31-33","104206","3123","36","359","1700","428","600"
"nonmanufacturing industries, 21-23, 42-81","381747","16161","419","1016","4852","7908","1965"
"information, 51","141471","7968","413","715","2691","3404","745"
"software publishers, 5112","17191","1296","26","186","584","433","68"
"telecommunications services, 517","66906","2142","382","386","508","459","407"
"other 51","57374","4530","5","143","1599","2512","270"
"finance and insurance, 52","16534","2865","0","29","291","2119","425"
"professional, scientific, and technical services, 54","15422","2438","5","176","859","854","543"
"computer systems design and related services, 5415","6508","1210","4","73","450","357","325"
"scientific research and development services, 5417","2647","682","","88","260","190","144"
"other 54","6267","546","0","15","149","307","74"
"nonmanufacturing nec, other 21-23, 42-81","208320","2890","1","96","1011","1531","252"
"size of company","","","","","","",""
"small companiesf","","","","","","",""
"10-19","1136","359","3","42","197","35","82"
"20-49","6080","1077","2","84","530","142","319"
"medium companies","","","","","","",""
"50-99","7827","1043","48","151","476","115","253"
"100-249","16303","1328","9","195","667","279","178"
"large companies","","","","","","",""
"250-499","11995","1795","6","187","831","497","274"
"500-999","16450","1505","9","137","633","409","318"
"1,000-4,999","76061","5562","66","792","2237","1868","599"
"5,000-9,999","69863","3630","21","501","1910","998","199"
"10,000-24,999","159038","6719","90","894","2887","2015","834"
"25,000 or more","300447","11724","405","1081","6024","3301","913"
