"year","single","chart positions","chart positions","chart positions","chart positions","chart positions","chart positions","chart positions","chart positions","chart positions","chart positions","album"
"year","single","swe","bel","bel","den","fra","ger","nl","swi","uk","us","album"
"1989","man in the moon","6","-","-","-","-","-","-","-","-","-","titiyo"
"1989","after the rain","13","-","-","-","-","-","-","-","60","-","titiyo"
"1990","flowers","-","-","-","-","-","-","-","-","71","-","titiyo"
"1991","my body says yes","-","-","-","-","-","-","-","-","-","42","titiyo"
"1993","never let me go","25","-","-","-","-","-","-","-","-","-","this is"
"1994","tell me","-","-","-","-","-","-","-","-","45","-","this is"
"1995","it should have been you","-","-","-","-","-","80","-","-","83","-","blacknuss allstars"
"1996","we vie","10","-","-","-","-","-","-","-","-","-","jr"
"2001","come along","3","17","35","7","13","11","20","22","-","-","come along"
"2001","1989","-","56","43","-","23","-","88","83","-","-","come along"
"2004","lovin' out of nothing","17","-","-","-","-","-","-","-","-","-","best of - a collection of songs"
"2005","feels like heaven","-","-","-","-","-","-","-","-","-","-","best of - a collection of songs"
"2007","du","7","71","-","14","-","-","-","-","-","-","non-album release"
"2008","longing for lullabies","7","71","-","14","-","-","-","-","-","-","kleerup"
"2008","300 slow days in a row","-","-","-","-","-","-","-","-","-","-","the tear collector"
"2008","longing for lullabies","42","-","-","-","-","-","-","-","-","-","hidden"
"2008","stumble to fall","-","-","-","-","-","-","-","-","-","-","hidden"
"2009","awakening","52","-","-","-","-","-","-","-","-","-","hidden"
"2010","if only your bed could cry","-","-","-","-","-","-","-","-","-","-","hidden"
"2010","side by side","-","-","-","-","-","-","-","-","-","-","tough love"
"2013","sjalen av en van","20","-","-","-","-","-","-","-","-","-","none"
"2014","drottningen ar tillbaka","-","-","-","-","-","-","-","-","-","-","13 garden"
"2014","solna","-","-","-","-","-","-","-","-","-","-","13 garden"
"2015","taxi","-","-","-","-","-","-","-","-","-","-","13 garden"
"2017","talking to the man in the moon","none","none","none","none","none","none","none","none","none","none","none"
