"year","title","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","certifications","album"
"year","title","us","us ac","us adult","us country","us dance","aus","can","nl","nz","uk","certifications","album"
"2001","standing still","25","19","3","-","-","32","-","68","7","83","none","this way"
"2002","break me","-","-","28","-","-","112","-","95","47","105","none","this way"
"2002","this way","-","-","36","-","-","-","-","-","-","-","none","this way"
"2002","serve the ego","-","-","-","-","1","-","-","-","-","197","none","this way"
"2003","intuition","20","-","5","-","1","4","34","9","17","52","aus: gold","0304"
"2003","stand","-","-","37","-","1","21","-","71","-","-","none","0304"
"2003","2 become 1","-","-","33","-","-","49","-","-","-","-","none","0304"
"2006","again and again","80","37","16","-","-","38","-","-","-","196","none","goodbye alice in wonderland"
"2006","good day","-","-","30","-","-","-","-","-","-","-","none","goodbye alice in wonderland"
"2006","only one too","-","-","-","-","12","-","-","-","-","-","none","goodbye alice in wonderland"
"2007","stephenville, tx","-","-","-","-","-","-","-","-","-","-","none","goodbye alice in wonderland"
"2008","stronger woman","84","-","-","13","-","-","-","-","-","-","none","perfectly clear"
"2008","i do","-","-","-","38","-","-","-","-","-","-","none","perfectly clear"
"2008","till it feels like cheating","-","-","-","57","-","-","-","-","-","-","none","perfectly clear"
"2009","somewhere over the rainbow","-","-","-","-","-","-","-","-","-","-","none","lullaby"
"2010","the shape of you","-","-","-","-","-","-","-","-","-","-","none","non-album track"
"2010","stay here forever","-","-","-","34","-","-","-","-","-","-","none","sweet and wild"
"2010","satisfied","-","27","-","57","-","-","-","-","-","-","none","sweet and wild"
"2010","ten","-","-","-","51","-","-","-","-","-","-","none","sweet and wild"
"2013","two hearts breaking","-","14","-","-","-","-","-","-","-","-","none","greatest hits"
"2014","sing on","-","-","-","-","-","-","-","-","-","-","none","non-album track"
"2015","my father's daughter","-","-","-","-","-","-","-","-","-","-","none","picking up the pieces"
""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart"
