"","name","term","term","term","regular season","regular season","regular season","regular season","regular season","playoffs","playoffs","playoffs","accomplishments","ref"
"","name","yrs","first","last","gc","w","l","t","win%","gc","w","l","accomplishments","ref"
"1","paul brown","8","1968","1975","112","55","56","1",".495","3","0","3","inducted pro football hall of fame (1967) 2 afc central championships (1970, 1973) 3 playoff berths 2 upi nfl coach of the year awards","none"
"2","bill johnson","3","1976","1978","33","18","15","0",".545","-","-","-","none","none"
"3","homer rice","3","1978","1979","27","8","19","0",".296","-","-","-","none","none"
"4","forrest gregg","4","1980","1983","57","32","25","0",".561","4","2","2","1 afc championship (1981) 1 afc central championship (1981) 2 playoff berths 1 upi nfl coach of the year award","none"
"5","sam wyche","8","1984","1991","121","61","66","0",".480","5","3","2","1 afc championship (1988) 2 afc central championships (1988, 1990) 2 playoff berths","none"
"6","dave shula","5","1992","1996","71","19","52","0",".268","-","-","-","none","none"
"7","bruce coslet","5","1996","2000","60","21","39","0",".350","-","-","-","none","none"
"8","dick lebeau","3","2000","2002","45","12","33","0",".267","-","-","-","none","none"
"9","marvin lewis","16","2003","2018","256","131","122","3",".518","7","0","7","4 afc north championships (2005, 2009, 2013, 2015) 7 playoff berths 1 ap nfl coach of the year award","none"
"10","zac taylor","0","present","present","0","0","0","0","-","none","none","none","none","none"
