"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"barton rovers","2006-07","southern league division one midlands","13","5","0","0","-","-","0","0","13","5"
"leighton town","2006-07","southern league division one midlands","12","3","1","0","-","-","0","0","13","3"
"hitchin town","2007-08","southern league premier division","2","0","0","0","-","-","0","0","2","0"
"rothwell town","2007-08","southern league division one midlands","1","0","0","0","-","-","0","0","1","0"
"aylesbury united","2007-08","southern league division one midlands","2","0","1","0","-","-","0","0","3","0"
"solihull moors","2010-11","conference north","22","10","0","0","-","-","0","0","22","10"
"kettering town","2010-11","conference premier","14","1","0","0","-","-","0","0","14","1"
"kettering town","2011-12","conference premier","12","5","0","0","-","-","1","0","13","5"
"kettering town","total","total","26","6","0","0","-","-","1","0","27","6"
"dagenham & redbridge","2011-12","league two","4","0","0","0","0","0","0","0","4","0"
"dagenham & redbridge","2011-12","league two","5","0","0","0","0","0","0","0","5","0"
"alfreton town","2011-12","conference premier","11","2","0","0","-","-","0","0","11","2"
"tamworth","2012-13","conference premier","45","21","1","0","-","-","4","0","50","21"
"cambridge united","2013-14","conference premier","24","8","4","1","-","-","2","0","30","9"
"cambridge united","2014-15","league two","7","2","-","-","1","0","0","0","8","2"
"cambridge united","total","total","31","10","4","1","1","0","2","0","38","11"
"bristol rovers","2014-15","conference premier","15","3","1","0","-","-","0","0","16","3"
"ebbsfleet united","2014-15","conference south","16","9","-","-","3","2","19","11","none","none"
"ebbsfleet united","2015-16","national league south","10","0","2","0","-","-","0","0","12","0"
"ebbsfleet united","total","total","26","9","2","0","-","-","3","2","31","11"
"woking","2015-16","national league","3","0","-","-","0","0","3","0","none","none"
"bromley","2015-16","national league","20","5","-","-","1","0","21","5","none","none"
"bromley","2016-17","national league","21","3","1","0","-","-","3","3","25","6"
"bromley","total","total","41","8","1","0","-","-","4","3","46","11"
"billericay town","2016-17","isthmian league premier division","14","6","-","-","2","1","16","7","none","none"
"career total","career total","career total","186","28","7","0","0","0","13","3","206","31"
