"selected characteristic and company size","2014","2015"
"domestic r&d performance","340728","355821"
"type of r&da","",""
"basic research","21936","21792"
"applied research","53415","56472"
"development","265377","277558"
"paid for by the companyb","282570","296677"
"basic research","16107","16306"
"applied research","39012","44344"
"development","227451","236027"
"paid for by others","58158","59144"
"basic research","5829","5486"
"applied research","14403","12128"
"development","37927","41530"
"source of funds","",""
"federal","26554","26990"
"otherc","31604","32154"
"size of company","",""
"micro companiesd","",""
"5-9","3295","2988"
"small companies","",""
"10-19","5063","5680"
"20-49","10542","10249"
"medium companies","",""
"50-99","10178","11509"
"100-249","13492","13602"
"large companies","",""
"250-499","12203","13553"
"500-999","13262","15217"
"1,000-4,999","57551","58094"
"5,000-9,999","38202","38838"
"10,000-24,999","54445","59328"
"25,000 or more","122495","126763"
