"","type of organization participants were most involved with","type of organization participants were most involved with","type of organization participants were most involved with","length of involvement with organization"
"","all","15 to 64 years","65 years and over","total"
"","percentage","percentage","percentage","average number of years"
"total","100","100","100","10.2"
"union or professional association","19","21","8","11.5"
"political party or group","1","1","2","11.0"
"sports or recreational organization","30","33","16","7.9"
"cultural, educational or hobby organization","12","12","14","7.3"
"religious-affiliated group","13","12","20","18.4"
"school group, or neighbourhood, civic or community association","9","10","6","5.5"
"service club","4","3","9","17.7"
"seniors' group","4","1","19","9.2"
"youth organization","2","2","1","6.7"
"ethnic or immigrant association or club","1","1","2","11.0"
"other type of organization","4","4","5","8.7"
