"club","season","league","league","league","national cup","national cup","league cup","league cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"bahia","2013","brasileirao","21","2","1","0","-","-","3","0","13","1","38","3"
"bahia","2014","brasileirao","9","2","4","0","-","-","17","6","30","8","none","none"
"bahia","total","total","30","4","5","0","-","-","3","0","30","7","68","11"
"benfica","2014-15","primeira liga","32","9","2","0","3","1","6","1","1","0","44","11"
"benfica","2015-16","primeira liga","21","3","1","0","5","4","5","2","1","0","33","9"
"benfica","total","total","53","12","3","0","8","5","11","3","2","0","77","20"
"besiktas","2016-17","super lig","22","13","2","1","-","-","9","3","0","0","33","17"
"besiktas","2017-18","super lig","33","14","6","2","-","-","8","4","0","0","47","20"
"besiktas","total","total","55","27","8","3","0","0","16","8","0","0","80","37"
"guangzhou evergrande","2018","chinese super league","18","16","0","0","-","-","0","0","0","0","18","16"
"guangzhou evergrande","2019","chinese super league","4","3","0","0","-","-","3","4","-","-","7","7"
"guangzhou evergrande","total","total","22","19","0","0","0","0","3","4","0","0","25","23"
"career total","career total","career total","160","62","16","3","8","5","34","14","32","7","250","91"
