"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"port vale","1930-31","second division","1","1","0","0","0","0","1","1"
"port vale","1931-32","second division","6","1","0","0","0","0","6","1"
"port vale","total","total","7","2","0","0","0","0","7","2"
"southampton","1932-33","second division","0","0","0","0","0","0","0","0"
"accrington stanley","1933-34","third division north","4","0","0","0","0","0","4","0"
"barrow","1934-35","third division north","32","7","2","0","0","0","34","7"
"barrow","1935-36","third division north","27","7","2","0","2","0","31","7"
"barrow","total","total","59","14","4","0","2","0","65","14"
"rochdale","1936-37","third division north","19","1","1","0","0","0","20","1"
"career total","career total","career total","89","17","5","0","2","0","96","17"
