"type of offence","2017r","2017r","2017r","2018","2018","2018"
"type of offence","reported","unfounded","unfounded","reported","unfounded","unfounded"
"type of offence","number","number","percent","number","number","percent"
"total criminal code","2,117,353","153,224","7","2,175,334","141,409","7"
"total violent crime","461,899","55,273","12","474,805","51,038","11"
"homicide","666","0","0","651","0","0"
"other violations causing death","121","21","17","132","17","13"
"attempted murder","830","9","1","812","5","1"
"sexual assault - level 3 - aggravated","175","15","9","173","15","9"
"sexual assault - level 2 - weapon or bodily harm","453","30","7","479","20","4"
"sexual assault - level 1","28,196","4,039","14","31,757","3,633","11"
"sexual violations against children","9,604","1,328","14","9,824","1,164","12"
"assault - level 3 - aggravated","3,630","46","1","3,574","45","1"
"assault - level 2 - weapon or bodily harm","53,816","1,676","3","55,319","1,540","3"
"assault - level 1","184,253","20,974","11","189,140","19,776","10"
"assault against a peace officer","11,024","59","1","11,672","45","0"
"other assaults","2,198","225","10","2,371","221","9"
"firearms - use of, discharge, pointing","3,047","281","9","3,075","266","9"
"robbery","24,027","1,196","5","23,672","1,222","5"
"forcible confinement or kidnapping","4,288","509","12","3,929","484","12"
"trafficking in persons","314","46","15","274","46","17"
"extortion","3,350","164","5","4,820","156","3"
"criminal harassment","25,123","5,241","21","24,568","4,992","20"
"uttering threats","76,376","13,085","17","78,362","11,854","15"
"indecent and harassing communications","21,827","5,246","24","22,267","4,625","21"
"non-consensual distribution of intimate images","1,709","197","12","1,629","169","10"
"commodification of sexual activity","1,185","67","6","1,062","35","3"
"other violent criminal code violations","5,687","819","14","5,243","708","14"
"total property crime","1,264,768","71,449","6","1,303,532","66,208","5"
"breaking and entering","171,107","11,481","7","170,888","11,076","6"
"possess stolen property","25,664","1,465","6","25,313","1,415","6"
"theft of motor vehicle","94,515","9,400","10","95,320","9,188","10"
"theft over $5,000","18,731","1,466","8","21,407","1,294","6"
"shoplifting under $5,000","109,475","1,162","1","126,026","1,093","1"
"theft of $5,000 or under","419,235","22,363","5","426,916","20,537","5"
"fraud","120,349","7,183","6","135,613","6,204","5"
"identity theft","3,455","160","5","3,884","139","4"
"identity fraud","14,822","478","3","16,237","398","2"
"mischief","277,492","14,917","5","272,679","13,615","5"
"arson","9,923","1,374","14","9,249","1,249","14"
"total other criminal code offences","390,686","26,502","7","396,997","24,163","6"
"weapons violations","18,265","2,395","13","19,000","2,390","13"
"child pornography","7,581","1,161","15","6,679","836","13"
"prostitution","139","17","12","116","6","5"
"terrorism","199","109","55","153","51","33"
"disturb the peace","103,214","6,663","6","100,246","5,868","6"
"administration of justice violations","229,343","12,081","5","238,217","11,353","5"
"other violations","31,945","4,076","13","32,586","3,659","11"
"total criminal code traffic violations","129,374","3,958","3","129,353","3,809","3"
"alcohol-impaired driving","69,008","3,394","5","68,881","3,228","5"
"drug-impaired driving","3,836","342","9","4,791","368","8"
"alcohol- and drug-impaired driving","..","..","..","305","61","20"
"impaired driving","..","..","..","87","10","11"
"other criminal code traffic violations","56,530","222","0","55,289","142","0"
"total drug offences","96,571","3,585","4","85,941","2,458","3"
"total other federal statute violations","32,317","1,555","5","27,345","1,261","5"
"human trafficking under the immigration and refugee protection act","124","21","17","128","16","13"
"youth criminal justice act","5,571","74","1","4,899","76","2"
"other federal statutes","26,622","1,460","5","22,318","1,169","5"
"total - all violations","2,375,615","162,322","7","2,417,973","148,937","6"
