"","revised average level","previously published average level","average revision"
"","millions of dollars","millions of dollars","millions of dollars"
"average 2015 to 2017","","",""
"household final consumption expenditure","1,160,059","1,160,312","-253"
"government final consumption expenditure","428,225","431,113","-2,888"
"non-profit institutions serving households' final consumption expenditure","30,680","29,558","1,122"
"business gross fixed capital formation","394,958","398,170","-3,212"
"government gross fixed capital formation","77,427","79,311","-1,885"
"non-profit institutions serving households' gross fixed capital formation","2,979","3,054","-75"
"inventories","5,621","6,215","-594"
"exports","640,918","640,684","235"
"imports","690,941","689,780","1,161"
"gross domestic product at market prices","2,049,060","2,058,544","-9,483"
"2015","","",""
"household final consumption expenditure","1,118,489","1,117,690","799"
"government final consumption expenditure","415,561","417,011","-1,450"
"non-profit institutions serving households' final consumption expenditure","28,575","28,535","40"
"business gross fixed capital formation","395,432","398,389","-2,957"
"government gross fixed capital formation","76,344","74,618","1,726"
"non-profit institutions serving households' gross fixed capital formation","2,956","2,981","-25"
"inventories","-46","3,940","-3,986"
"exports","627,848","628,955","-1,107"
"imports","677,939","678,265","-326"
"gross domestic product at market prices","1,985,829","1,994,911","-9,082"
"2016","","",""
"household final consumption expenditure","1,153,256","1,154,829","-1,573"
"government final consumption expenditure","426,282","429,594","-3,312"
"non-profit institutions serving households' final consumption expenditure","30,975","29,492","1,483"
"business gross fixed capital formation","386,668","389,592","-2,924"
"government gross fixed capital formation","75,064","79,762","-4,698"
"non-profit institutions serving households' gross fixed capital formation","2,905","3,065","-160"
"inventories","-606","-487","-119"
"exports","631,229","630,353","876"
"imports","680,791","679,538","1,253"
"gross domestic product at market prices","2,023,824","2,035,506","-11,682"
"2017","","",""
"household final consumption expenditure","1,208,432","1,208,417","15"
"government final consumption expenditure","442,831","446,734","-3,903"
"non-profit institutions serving households' final consumption expenditure","32,490","30,647","1,843"
"business gross fixed capital formation","402,774","406,528","-3,754"
"government gross fixed capital formation","80,872","83,554","-2,682"
"non-profit institutions serving households' gross fixed capital formation","3,077","3,117","-40"
"inventories","17,515","15,192","2,323"
"exports","663,678","662,743","935"
"imports","714,094","711,538","2,556"
"gross domestic product at market prices","2,137,528","2,145,214","-7,686"
