"name","punt returns","punt returns","punt returns","punt returns","punt returns","kick returns","kick returns","kick returns","kick returns","kick returns"
"name","no","yds","avg","td","long","no","yds","avg","td","long"
"torrey smith","0","-","-","-","-","42","1,089","25.9","1","99"
"kenny tate","0","-","-","-","-","6","84","14.0","0","17"
"dan gronkowski","0","-","-","-","-","2","12","6.0","0","8"
"terrell skinner","0","-","-","-","-","1","15","15.0","0","15"
"danny oquendo","20","104","5.2","0","15","1","1","1.0","0","1"
"cory jackson","0","-","-","-","-","1","9","9.0","0","9"
"morgan green","0","-","-","-","-","1","2","2.0","0","2"
"tony logan","6","49","8.2","0","15","0","-","-","-","-"
"adrian moten","1","21","21.0","0","0","0","-","-","-","-"
"dominique herald","1","15","15.0","0","15","0","-","-","-","-"
"total","28","189","6.8","0","45","54","1,212","22.4","1","99"
