"selected characteristics","total custody","total custody","total community supervision","total community supervision","total correctional services","total correctional services"
"selected characteristics","number","percent of total","number","percent of total","number","percent of total"
"age","","","","","",""
"12 years","54","1","87","1","141","1"
"13 years","188","3","352","4","540","4"
"14 years","622","10","779","9","1,401","10"
"15 years","1,112","18","1,307","15","2,419","17"
"16 years","1,549","25","1,732","21","3,281","23"
"17 years","2,058","34","2,344","28","4,402","30"
"18 years and older","559","9","1,833","22","2,392","16"
"unknown age","0","0","2","0","2","0"
"sex","","","","","",""
"male","4,822","79","6,457","77","11,279","77"
"female","1,304","21","1,943","23","3,247","22"
"unknown sex","16","0","36","0","52","0"
"indigenous identity","","","","","",""
"indigenous","2,880","47","3,378","40","6,258","43"
"non-indigenous","3,211","52","4,747","56","7,958","55"
"unknown","51","1","311","4","362","2"
"total-all jurisdictions","6,142","100","8,436","100","14,578","100"
