"selected type of crime prevention measure taken at some point in one's life","aboriginal people","non-aboriginal people"
"selected type of crime prevention measure taken at some point in one's life","percent","percent"
"changed your routine/activities or avoided certain people/places","33","27"
"installed new locks or security bars","23","26"
"installed burglar alarm/motion detector/video surveillance","29","33"
"took a self defence course","14","12"
"obtained a dog","17","9"
"changed residence or moved","7","4"
"carry something to defend yourself or to alert other people","17","12"
"when alone and returning to a parked car, check the back seat for intruders before getting into the car","38","35"
"plan your route with safety in mind","47","39"
"stay at home at night because you are afraid to go out alone","8","6"
"lock windows and doors at home","81","85"
"rather than walk, use your car/taxi/public transportation for your personal safety","31","28"
