"selected characteristics of victims","2018","2018","2018","2018","2016","2016","2016","2016"
"selected characteristics of victims","male victims","female victims","total victims","total victims","male victims","female victims","total victims","total victims"
"selected characteristics of victims","percent","percent","number","percent","percent","percent","number","percent"
"environmental command","","","","","","","",""
"canadian army","1.2","9.3","430","2.2","1.5","8.5","440","2.4"
"royal canadian navy","2.4","6.0","120","3.6","f","11","120","4.0"
"royal canadian air force","f","f","f","f","f","f","20","1.1"
"military personnel command","f","f","f","f","f","7.8","70","3.7"
"other","f","f","f","f","f","f","f","f"
"indigenous identity","","","","","","","",""
"indigenous (first nations, metis, inuit) person","f","f","70","6.1","5.3","f","70","8.1"
"non-indigenous person","1.1","6.7","540","2.0","1.3","7.8","610","2.4"
"persons with disabilities","","","","","","","",""
"persons with disabilities","f","f","f","f","f","f","40","5.6"
"persons without disabilities","1.2","6.8","570","2.1","1.4","8.1","640","2.5"
"visible minority","","","","","","","",""
"visible minority","f","11","100","2.4","f","11","50","1.7"
"non-visible minority","1.3","6.3","500","2.2","1.6","8.0","620","2.7"
"rank","","","","","","","",""
"junior non-commissioned member","1.5","8.2","480","2.6","1.9","10","570","3.3"
"senior non-commissioned member","0.9","f","50","1.3","0.7","f","40","0.9"
"junior officer","f","5.6","50","1.6","f","6.0","50","1.6"
"senior officer","f","f","f","f","f","f","20","1.2"
"age group","","","","","","","",""
"24 years and younger","1.2","12","260","2.8","1.8","18","340","4.0"
"25 to 29 years","2.2","7.8","160","3.1","2.7","6.1","180","3.4"
"30 to 34 years","1.5","6.3","80","2.4","f","5.7","60","2.0"
"35 to 39 years","f","f","40","1.7","f","7.2","40","1.9"
"40 to 44 years","f","f","f","f","f","f","20","1.2"
"45 to 49 years","f","f","30","1.4","f","f","f","f"
"50 years and older","f","f","f","f","f","f","20","0.6"
"total","1.2","7.0","600","2.2","1.4","8.2","680","2.6"
