"factor","%","95% confidence interval","95% confidence interval"
"factor","%","95% confidence interval","95% confidence interval"
"factor","%","from","to"
"reasons for use","","",""
"get base tan","62.0","57.3","66.6"
"aesthetic","21.0","17.2","24.8"
"relax/feel better","15.8","12.4","19.2"
"boost immune system","8.9","5.9","12.0"
"treat skin condition","4.3","2.8","5.9"
"prevent cancer","f","f","f"
"other","6.6","4.2","9.1"
"frequency of use","","",""
"periodic","73.4","69.2","77.6"
"regular","26.5","22.2","30.7"
"frequency of use in last month","","",""
"1 to 10 sessions","69.9","60.7","79.1"
"11 to 31 sessions","24.9","16.0","33.8"
"not available/don't know/refusal/not stated","5.2","2.0","8.4"
"wore eye protection","","",""
"yes","84.5","80.5","88.5"
"no","14.0","10.1","17.8"
"read warning labels each session in past year","","",""
"yes","51.7","46.8","56.5"
"no","48.1","43.2","52.9"
"reasons for not reading warning labels","","",""
"read in past","61.4","54.4","68.3"
"not important","16.2","9.7","22.8"
"did not notice labels","12.9","8.7","17.1"
"given oral instructions by attendant","7.2","3.8","10.6"
"no warning labels","f","f","f"
"didn't have time","f","f","f"
"unreadable","f","f","f"
"other","5.6","3.2","7.9"
"followed exposure schedule in past year","","",""
"yes","80.2","75.8","84.7"
"no","18.4","14.0","22.8"
"reasons for not following exposure schedule","","",""
"followed first time","23.8","11.0","36.6"
"no exposure schedule","22.3","12.1","32.6"
"given different exposure schedule by attendant","f","f","f"
"forgot","f","f","f"
"other","44.7","32.3","57.2"
"discomfort/injury to skin in past year","","",""
"yes","10.4","7.5","13.2"
"no","89.6","86.7","92.5"
"number of episodes of discomfort/injury to skin in past year","","",""
"1","56.3","41.4","71.3"
"2 to 12","41.7","26.8","56.7"
"not applicable/don't know/refused/not stated","f","f","f"
"number of days discomfort/injury lasted","","",""
"2 or fewer","69.7","55.4","84"
"more than 2","28.1","13.6","42.6"
"not applicable/don't know/refused/not stated","f","f","f"
