"season","league","regular season","regular season","regular season","regular season","regular season","regular season","regular season","regular season","regular season","regular season","postseason","postseason","postseason","postseason","postseason","postseason","postseason"
"season","league","gp","w","l","t","otw","otl","gf","ga","pts","finish","gp","w","l","gf","ga","pts","result"
"2001-02","2. divisjon","24","18","0","6","-","-","304","33","42","1st","","","","","","",""
"2002-03","1. divisjon","36","30","3","3","-","-","288","96","63","1st","6","5","1","37","21","16","1st in qualifying for eliteserien"
"2003-04","eliteserien","42","19","18","-","1","4","163","152","63","6th","7","4","3","20","26","-","won in quarter-finals, 3-1 (trondheim) lost in semi-finals, 0-3"
"2004-05","eliteserien","42","16","20","-","1","5","132","148","55","7th","3","0","3","7","17","-","lost in quarter-finals, 0-3"
"2005-06","eliteserien","42","19","14","-","5","4","131","128","71","4th","17","8","9","47","48","-","won in quarter-finals, 4-2 (sparta) won in semi-finals, 4-3 (stjernen) lost in finals, 0-4"
"2006-07","eliteserien","44","25","12","-","2","5","192","149","84","3rd","12","6","6","42","47","-","won in quarter-finals, 4-2 (comet) lost in semi-finals, 2-4"
"2007-08","eliteserien","44","20","16","-","4","4","135","117","72","6th","4","0","4","3","8","-","lost in quarter-finals, 0-4"
"2008-09","eliteserien","45","26","15","-","2","2","148","117","84","4th","6","2","4","17","27","-","lost in quarter-finals, 2-4"
"2009-10","eliteserien","48","24","17","-","1","6","132","128","82","3rd","18","12","6","54","40","-","won in quarter-finals, 4-2 (lillehammer) won in semi-finals, 4-2 (sparta) won norwegian championship, 4-2"
"2010-11","eliteserien","45","27","10","-","5","3","176","108","97","2nd","16","9","7","52","40","-","won in quarter-finals, 4-1 (frisk asker) won in semi-finals, 4-2 (lørenskog) lost in finals, 1-4"
"2011-12","eliteserien","45","35","6","-","3","1","216","100","112","1st","14","12","2","73","36","-","won in quarter-finals, 4-0 (rosenborg) won in semi-finals, 4-0 (lillehammer) won norwegian championship, 4-2"
"2012-13","eliteserien","45","29","12","-","1","3","198","112","92","2nd","17","12","5","58","48","-","won in quarter-finals, 4-1 (frisk asker) won in semi-finals, 4-2 (lørenskog) won norwegian championship, 4-2"
"2013-14","eliteserien","45","30","8","-","4","3","198","98","101","2nd","17","12","5","54","34","-","won in quarter-finals, 4-0 (rosenborg) won in semi-finals, 4-3 (lillehammer) won norwegian championship, 4-2"
"2014-15","eliteserien","45","32","9","-","3","1","187","93","100","1st","15","12","3","55","37","-","won in quarter-finals, 4-0 (stjernen) won in semi-finals, 4-0 (valerenga) won norwegian championship, 4-3"
"2015-16","eliteserien","45","29","6","-","2","8","181","82","99","1st","17","12","5","44","30","-","won in quarter-finals, 4-0 (manglerud star) won in semi-finals, 4-3 (storhamar) won norwegian championship, 4-2"
"2016-17","eliteserien","45","28","10","-","6","1","174","102","97","1st","14","12","2","55","27","-","won in quarter-finals, 4-0 (stjernen) won in semi-finals, 4-0 (sparta) won norwegian championship, 4-2"
"eliteserien totals","eliteserien totals","622","359","173","-","40","50","2,363","939","1,634","","177","113","64","581","465","-","14 playoff appearances"
