"","business","farming","professional","rental","fishing"
"","percent","percent","percent","percent","percent"
"1989","4.1","-2.3","3.4","0.3","-4.9"
"1990","4.9","-7.0","5.0","0.1","-7.9"
"1991","0.5","-1.9","1.8","5.7","-2.5"
"1992","5.9","-1.0","3.5","9.0","7.9"
"1993","6.3","2.0","4.0","8.5","-3.8"
"1994","8.5","0.7","4.4","7.7","0.9"
"1995","5.8","-0.1","5.4","1.4","-3.6"
"1996","7.4","-0.2","2.0","3.6","-5.0"
"1997","7.2","-0.6","2.8","4.0","-8.6"
"1998","4.2","-3.5","1.8","2.6","-8.9"
"1999","2.1","-2.6","1.1","1.2","5.5"
"2000","1.0","-0.7","-0.2","-1.0","0.4"
"2001","1.1","1.0","-1.0","1.4","-0.6"
"2002","0.5","-4.0","0.1","3.6","0.9"
"2003","3.8","-9.0","0.8","0.0","-0.5"
"2004","1.4","-3.1","-0.6","-0.7","-3.0"
"2005","3.9","-0.2","-1.2","-1.1","-8.2"
"2006","1.8","-5.8","-1.3","-1.4","-6.7"
"2007","4.4","2.1","-1.7","-1.1","-1.1"
"2008","0.5","-1.2","-0.6","1.2","-7.3"
"2009","-1.5","-2.6","-1.9","7.7","-7.4"
"2010","2.2","-0.8","0.4","4.1","1.7"
"annual average","3.5","-1.8","1.3","2.6","-2.8"
