"club","season","league","league","league","scottish cup","scottish cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"ross county","2006-07","scottish first division","0","0","0","0","1","0","0","0","1","0"
"heart of midlothian","2007-08","scottish premier league","0","0","0","0","0","0","0","0","0","0"
"heart of midlothian","2008-09","scottish premier league","0","0","0","0","0","0","0","0","0","0"
"heart of midlothian","2009-10","scottish premier league","0","0","0","0","0","0","0","0","0","0"
"heart of midlothian","2010-11","scottish premier league","0","0","0","0","0","0","0","0","0","0"
"heart of midlothian","2011-12","scottish premier league","2","0","0","0","0","0","0","0","2","0"
"heart of midlothian","2012-13","scottish premier league","0","0","0","0","0","0","0","0","0","0"
"heart of midlothian","2013-14","scottish premiership","1","0","0","0","1","0","0","0","2","0"
"heart of midlothian","hearts total","hearts total","3","0","0","0","1","0","0","0","4","0"
"east fife","2009-10","scottish second division","4","0","1","0","0","0","0","0","5","0"
"airdrie united","2010-11","scottish second division","34","0","4","0","2","0","1","0","41","0"
"east fife","2011-12","scottish second division","13","0","0","0","3","0","1","0","17","0"
"st mirren","2014-15","scottish premiership","23","0","2","0","0","0","0","0","25","0"
"st mirren","2015-16","scottish championship","2","0","0","0","0","0","1","0","3","0"
"st mirren","st mirren total","st mirren total","25","0","2","0","0","0","1","0","28","0"
"kilmarnock","2015-16","scottish premiership","0","0","0","0","1","0","0","0","1","0"
"orlando city b","2016","united soccer league","28","0","0","0","0","0","0","0","28","0"
"partick thistle","2016-17","scottish premiership","2","0","0","0","0","0","0","0","2","0"
"inverness caledonian thistle","2017-18","scottish championship","34","0","1","0","4","0","2","0","41","0"
"inverness caledonian thistle","2018-19","scottish championship","24","0","6","0","4","0","1","0","35","0"
"inverness caledonian thistle","inverness total","inverness total","58","0","7","0","8","0","3","0","63","0"
"total","total","total","167","0","14","0","16","0","6","0","203","0"
