"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"wigan athletic","1984-85","third division","2","0","0","0","0","0","2","0"
"wigan athletic","1985-86","third division","17","0","1","0","3","0","21","0"
"wigan athletic","1986-87","third division","39","0","2","0","6","0","47","0"
"wigan athletic","1987-88","third division","42","1","2","0","6","0","50","1"
"wigan athletic","1988-89","third division","44","2","1","0","5","0","50","2"
"wigan athletic","1989-90","third division","11","0","0","0","4","0","15","0"
"wigan athletic","total","total","155","3","6","0","24","0","185","3"
"leyton orient","1989-90","third division","32","1","1","0","2","1","35","2"
"sheffield united","1990-91","first division","37","1","0","0","6","1","43","2"
"sheffield united","1991-92","first division","40","2","4","0","3","0","47","2"
"sheffield united","1992-93","premier league","39","2","6","1","4","0","49","3"
"sheffield united","1993-94","premier league","25","0","1","0","2","0","28","0"
"sheffield united","1994-95","first division","27","2","0","0","1","0","28","2"
"sheffield united","total","total","168","7","11","1","16","1","195","9"
"leeds united","1995-96","premier league","10","0","4","0","9","0","23","0"
"leeds united","1996-97","premier league","12","0","1","0","1","0","14","0"
"leeds united","total","total","22","0","5","0","10","0","37","0"
"manchester city","1996-97","first division","6","0","0","0","0","0","6","0"
"manchester city","1997-98","first division","7","0","0","0","0","0","7","0"
"manchester city","total","total","13","0","0","0","0","0","13","0"
"west bromwich albion","1997-98","first division","8","0","0","0","0","0","8","0"
"port vale","1997-98","first division","5","0","0","0","0","0","5","0"
"port vale","1998-99","first division","35","3","1","0","0","0","36","3"
"port vale","total","total","40","3","1","0","0","0","41","3"
"blackpool","1999-2000","second division","18","0","1","0","3","0","22","0"
"chester city","2000-01","conference","33","2","4","1","3","0","40","3"
"chester city","2001-02","conference","0","0","0","0","0","0","0","0"
"chester city","total","total","33","2","4","1","3","0","40","3"
"stalybridge celtic","2001-02","conference","26","0","1","0","1","0","28","0"
"career total","career total","career total","515","16","30","2","59","2","604","20"
