"","revised estimate","previous estimate","revision","revision"
"","millions of dollars","millions of dollars","millions of dollars","%"
"transportation","","","",""
"2012","31,024","32,617","-1,593","-4.9"
"2013","31,829","33,568","-1,739","-5.2"
"2014","33,791","35,587","-1,796","-5.0"
"2015","32,987","35,105","-2,118","-6.0"
"accommodation","","","",""
"2012","10,758","11,621","-863","-7.4"
"2013","11,208","12,101","-893","-7.4"
"2014","11,659","12,637","-978","-7.7"
"2015","12,290","13,365","-1,075","-8.0"
"food and beverage services","","","",""
"2012","12,550","11,836","714","6.0"
"2013","13,195","12,277","918","7.5"
"2014","13,843","12,907","936","7.3"
"2015","14,536","13,436","1,100","8.2"
"other tourism goods and services","","","",""
"2012","12,752","12,760","-8","-0.1"
"2013","12,945","13,126","-181","-1.4"
"2014","13,267","13,397","-130","-1.0"
"2015","13,681","14,015","-334","-2.4"
"total tourism goods and services","","","",""
"2012","67,084","68,834","-1,750","-2.5"
"2013","69,177","71,072","-1,895","-2.7"
"2014","72,560","74,528","-1,968","-2.6"
"2015","73,494","75,921","-2,427","-3.2"
"total other good and services","","","",""
"2012","13,073","12,915","158","1.2"
"2013","13,410","13,449","-39","-0.3"
"2014","13,923","13,975","-52","-0.4"
"2015","14,426","14,421","5","0.0"
"tourism expenditures","","","",""
"2012","80,157","81,749","-1,592","-1.9"
"2013","82,587","84,521","-1,934","-2.3"
"2014","86,483","88,503","-2,020","-2.3"
"2015","87,920","90,342","-2,422","-2.7"
