"","sample including all stem graduates","sample including all stem graduates","sample including all stem graduates","sample including only stem graduates employed in 2006 and 2016","sample including only stem graduates employed in 2006 and 2016","sample including only stem graduates employed in 2006 and 2016"
"","overall","men","women","overall","men","women"
"","percent","percent","percent","percent","percent","percent"
"sex","","","","","",""
"female","30.2","..","100.0","28.0","..","100.0"
"male","69.8","100.0","..","72.0","100.0",".."
"age group","","","","","",""
"25 to 34","30.0","28.4","33.8","31.7","30.2","35.5"
"35 to 44","38.8","38.8","38.9","40.8","40.7","41.0"
"45 to 54","31.2","32.8","27.3","27.5","29.1","23.5"
"marital status","","","","","",""
"single, never married","17.1","17.3","16.6","17.1","16.8","17.7"
"married or common law","77.5","78.3","75.4","77.8","79.1","74.4"
"separated, divorced or widowed","5.5","4.4","8.0","5.1","4.1","7.9"
"immigrant status","","","","","",""
"canadian-born","65.8","66.7","63.6","66.3","66.7","65.2"
"immigrant","34.2","33.3","36.5","33.7","33.3","34.8"
"aboriginal identity","","","","","",""
"does not identify as member of an aboriginal group","98.9","99.0","98.7","98.9","99.0","98.7"
"identifies as member of an aboriginal group","1.1","1.0","1.3","1.1","1.0","1.3"
"visible minority status","","","","","",""
"not a visible minority","74.8","75.5","73.2","75.2","75.5","74.4"
"visible minority","25.2","24.6","26.8","24.9","24.6","25.6"
"presence of children younger than 6","","","","","",""
"had children younger than 6 in 2006 and 2016","2.1","2.1","2.1","2.1","2.2","1.9"
"had children younger than 6 in 2006, not in 2016","22.0","21.8","22.3","22.9","23.3","22.0"
"had children younger than age 6 in 2016, not in 2006","10.6","10.9","9.8","11.4","11.7","10.7"
"did not have children younger than 6 in 2006 or 2016","65.3","65.1","65.8","63.5","62.8","65.4"
"highest certificate, diploma or degree","","","","","",""
"college, cegep or other non-university certificate or diploma or university certificate below a bachelor's degree","43.2","45.3","38.2","42.6","44.6","37.6"
"bachelor's degree","41.6","40.2","45.0","41.7","40.5","44.8"
"university degree above a bachelor's degree","15.2","14.5","16.8","15.7","14.9","17.6"
"location of postsecondary study","","","","","",""
"canada","79.1","79.9","77.2","79.7","79.9","79.2"
"outside canada","20.9","20.1","22.8","20.3","20.1","20.8"
"stem field of study","","","","","",""
"physical and chemical sciences","7.0","6.3","8.6","6.9","6.2","8.5"
"biological, general and integrated sciences","20.0","12.5","37.5","19.7","12.5","38.0"
"engineering and engineering technology","47.9","58.2","24.1","48.6","58.1","24.3"
"mathematics and computer and information sciences","25.1","23.0","29.8","24.9","23.2","29.2"
"area of residence","","","","","",""
"newfoundland and labrador","1.1","1.1","1.2","1.2","1.1","1.3"
"prince edward island","0.3","0.3","0.4","0.3","0.3","0.4"
"nova scotia","2.5","2.4","2.8","2.5","2.4","2.9"
"new brunswick","1.9","2.0","1.8","2.0","2.0","2.0"
"quebec","23.3","23.8","22.0","23.2","23.6","22.3"
"ontario","44.3","43.8","45.3","44.1","43.8","44.7"
"manitoba","2.6","2.6","2.5","2.6","2.6","2.6"
"saskatchewan","1.7","1.7","1.8","1.8","1.8","1.9"
"alberta","11.4","11.6","10.8","11.5","11.8","10.7"
"british columbia","10.7","10.5","11.1","10.7","10.6","11.1"
"territories","0.2","0.2","0.3","0.2","0.2","0.3"
"","number","number","number","number","number","number"
"sample size","48,271","33,686","14,585","42,142","30,312","11,830"
