"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"ipswich town","2002-03","first division","4","0","0","0","0","0","-","-","4","0"
"ipswich town","2003-04","first division","16","4","1","0","2","1","1","0","20","5"
"ipswich town","2004-05","championship","21","3","0","0","2","0","1","0","24","3"
"ipswich town","2005-06","championship","21","0","0","0","1","0","-","-","22","0"
"ipswich town","2006-07","championship","9","1","0","0","1","0","-","-","10","1"
"ipswich town","2007-08","championship","0","0","0","0","0","0","-","-","0","0"
"ipswich town","2008-09","championship","1","0","0","0","1","0","-","-","2","0"
"ipswich town","total","total","72","8","1","0","7","1","2","0","82","9"
"burnley","2004-05","championship","10","1","0","0","0","0","-","-","10","1"
"wycombe wanderers","2005-06","league two","11","1","0","0","0","0","0","0","11","1"
"brighton & hove albion","2006-07","league one","3","1","0","0","0","0","1","0","4","1"
"brighton & hove albion","2007-08","league one","5","0","0","0","0","0","0","0","5","0"
"northampton town","2007-08","league one","10","2","0","0","0","0","0","0","10","2"
"brentford","2008-09","league two","9","2","0","0","0","0","0","0","9","2"
"brentford","total","total","48","7","0","0","0","0","1","0","49","7"
"yeovil town","2009-10","league one","30","10","0","0","0","0","0","0","30","10"
"yeovil town","2010-11","league one","41","15","2","0","1","0","1","0","45","15"
"yeovil town","total","total","71","25","2","0","1","0","1","0","75","25"
"milton keynes dons","2011-12","league one","41","12","4","3","3","0","3","0","51","15"
"milton keynes dons","2012-13","league one","39","8","5","3","3","1","1","0","48","12"
"milton keynes dons","2013-14","league one","12","1","1","0","0","0","0","0","13","1"
"milton keynes dons","2014-15","league one","35","7","1","0","3","0","1","0","40","7"
"milton keynes dons","2015-16","championship","37","4","3","0","0","0","-","-","40","4"
"milton keynes dons","2016-17","league one","28","5","3","1","2","3","2","0","35","9"
"milton keynes dons","total","total","192","37","17","7","11","4","7","0","227","48"
"northampton town","2017-18","league one","11","0","2","0","0","0","3","0","16","0"
"northampton town","2018-19","league two","20","3","0","0","1","0","3","0","24","3"
"northampton town","total","total","31","3","2","0","1","0","6","0","40","3"
"stevenage","2017-18","league two","5","2","0","0","0","0","0","0","5","2"
"career total","career total","career total","419","82","22","7","20","5","17","0","478","94"
