"club","season","league","league","league","national cup","national cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals"
"albion rovers","1929-30","scottish second division","3","1","0","0","3","1"
"albion rovers","1930-31","scottish second division","25","0","2","0","27","0"
"albion rovers","1931-32","scottish second division","38","6","3","0","41","6"
"albion rovers","total","total","66","7","5","0","71","7"
"brentford","1932-33","third division south","2","0","0","0","2","0"
"brentford","1933-34","second division","11","0","1","0","12","0"
"brentford","1934-35","second division","30","0","1","0","31","0"
"brentford","1935-36","first division","38","1","1","0","39","1"
"brentford","1936-37","first division","42","5","2","0","44","5"
"brentford","1937-38","first division","31","4","2","0","33","4"
"brentford","total","total","154","10","7","0","161","10"
"middlesbrough","1938-39","first division","28","1","0","0","28","1"
"career total","career total","career total","248","18","12","0","260","18"
