"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"greenock morton","1981-82","scottish premier division","13","1","0","0","1","0","14","1"
"greenock morton","1982-83","scottish premier division","8","0","0","0","1","0","9","0"
"greenock morton","total","total","21","1","0","0","2","0","23","1"
"airdrieonians","1983-84","scottish first division","2","0","0","0","4","0","6","0"
"queen of the south","1983-84","scottish second division","2","0","0","0","0","0","2","0"
"albion rovers","1983-84","scottish second division","3","0","0","0","0","0","3","0"
"albion rovers","1984-85","scottish second division","39","27","0","0","4","4","43","31"
"albion rovers","total","total","42","27","0","0","4","4","46","31"
"middlesbrough","1985-86","second division","32","8","1","0","1","1","34","9"
"middlesbrough","1986-87","third division","46","17","3","3","9","2","58","22"
"middlesbrough","1987-88","second division","44","21","5","0","9","3","58","24"
"middlesbrough","1988-89","first division","37","15","1","1","6","2","44","18"
"middlesbrough","1989-90","second division","46","21","3","0","10","11","59","32"
"middlesbrough","1990-91","second division","46","16","3","0","9","4","58","20"
"middlesbrough","1991-92","second division","38","16","2","0","9","2","49","18"
"middlesbrough","1992-93","premier league","18","4","1","0","2","0","21","4"
"middlesbrough","total","total","307","118","19","3","55","25","381","146"
"port vale","1992-93","second division","10","2","0","0","5","2","15","4"
"port vale","1993-94","second division","23","7","4","1","4","1","31","9"
"port vale","total","total","33","9","4","1","9","3","46","13"
"darlington","1993-94","third division","11","2","0","0","0","0","11","2"
"darlington","1994-95","third division","26","5","2","1","3","1","31","7"
"darlington","total","total","37","7","2","1","3","1","42","9"
"billingham synthonia total","billingham synthonia total","billingham synthonia total","21","22","0","0","0","0","21","22"
"career total","career total","career total","465","184","25","6","77","33","567","223"
