"year","song","artist","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","certifications"
"year","song","artist","aus","bel","den","fra","ire","ned","sco","uk","certifications"
"2012","lighters up","snoop lion","-","-","-","-","-","-","-","195","none"
"2014","kisses for breakfast","melissa steel","-","-","-","-","-","-","15","10","none"
"2015","i know there's gonna be","jamie xx","90","85","-","-","-","-","-","115","bpi: silver"
"2016","i'm in control","alunageorge","64","32","32","57","60","50","35","39","bpi: silver"
"2016","should've been me","naughty boy","-","-","-","-","61","-","47","61","none"
"2017","saturnz barz","gorillaz","-","-","-","114","88","-","-","87","none"
"2017","one you love","ivy layne","-","-","-","-","-","-","-","-","none"
"2017","times tickin","giggs","-","-","-","-","-","-","-","-","none"
"2017","you ain't mine","kyla","-","-","-","-","-","-","-","-","none"
"2017","say a prayer","tieks","-","-","-","-","-","-","98","-","none"
