"club","season","division","league","league","fa cup","fa cup","wartime","wartime","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"liverpool","1940-46","-","0","0","0","0","62","14","62","14"
"liverpool","1946-47","first division","6","0","0","0","0","0","6","0"
"liverpool","1947-48","first division","7","0","0","0","0","0","7","0"
"liverpool","total","total","13","0","0","0","62","14","75","14"
"port vale","1948-49","third division south","42","4","1","0","0","0","43","4"
"port vale","1949-50","third division south","42","3","4","0","0","0","46","3"
"port vale","1950-51","third division south","45","6","4","0","0","0","49","6"
"port vale","1951-52","third division south","30","1","1","0","0","0","31","1"
"port vale","total","total","159","14","10","0","0","0","169","14"
"career total","career total","career total","172","14","10","0","62","14","244","28"
