"club","season","division","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"barnsley","1996-97","first division","0","0","0","0","0","0","0","0","0","0"
"barnsley","1997-98","premier league","11","0","3","0","0","0","0","0","14","0"
"barnsley","1998-99","first division","19","0","1","0","3","0","0","0","23","0"
"barnsley","1999-2000","first division","37","0","1","0","4","1","3","0","45","1"
"barnsley","2000-01","first division","40","1","1","0","4","0","0","0","45","1"
"barnsley","2001-02","first division","42","4","2","0","3","0","0","0","47","4"
"barnsley","2002-03","second division","36","2","1","0","0","0","1","0","38","2"
"barnsley","total","total","185","7","9","0","14","1","4","0","212","8"
"sheffield united","2003-04","first division","32","1","3","1","1","0","0","0","36","2"
"sheffield united","2004-05","championship","41","2","3","0","3","1","0","0","47","3"
"sheffield united","2005-06","championship","39","4","1","0","2","0","0","0","42","4"
"sheffield united","2006-07","premier league","24","1","0","0","1","0","0","0","25","1"
"sheffield united","2007-08","championship","25","2","3","0","2","0","0","0","30","2"
"sheffield united","2008-09","championship","41","2","4","0","2","0","3","0","50","2"
"sheffield united","2009-10","championship","37","2","3","0","0","0","0","0","40","2"
"sheffield united","2010-11","championship","8","0","0","0","1","0","0","0","9","0"
"sheffield united","2011-12","championship","0","0","0","0","0","0","0","0","0","0"
"sheffield united","total","total","247","14","17","1","12","1","3","0","279","16"
"career total","career total","career total","432","21","26","1","26","2","7","0","491","24"
