"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"pahang","2010","malaysia super league","0","0","0","0","0","0","0","0","0","0"
"pahang","2011","malaysia super league","0","0","0","0","-","-","0","0","none","none"
"pahang","2012","malaysia premier league","0","3","0","0","0","1","-","-","30","4"
"pahang","2013","malaysia super league","0","5","0","1","0","3","-","-","0","9"
"pahang","2014","malaysia super league","0","2","0","0","0","4","-","-","0","6"
"pahang","2015","malaysia super league","0","2","0","2","0","1","8","1","0","6"
"pahang","total","total","0","12","0","3","0","9","8","1","0","25"
"selangor","2016","malaysia super league","18","5","1","0","10","4","4","1","33","10"
"selangor","total","total","18","5","1","0","10","4","4","1","33","10"
"johor darul ta'zim","2017","malaysia super league","2","0","0","0","0","0","3","1","5","1"
"johor darul ta'zim","total","total","2","0","0","0","0","0","3","1","5","1"
"melaka united","2018","malaysia super league","17","4","2","1","0","0","-","-","19","5"
"melaka united","total","total","17","4","2","1","0","0","0","0","19","5"
"career total","career total","career total","0","0","0","0","0","0","0","0","0","0"
