"club","season","division","league","league","national cup","national cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"shrewsbury town","1999-2000","third division","6","1","1","0","0","0","1","0","8","1"
"shrewsbury town","2000-01","third division","26","7","0","0","0","0","1","0","27","7"
"shrewsbury town","2001-02","third division","38","22","1","0","1","0","1","0","41","22"
"shrewsbury town","2002-03","third division","36","16","4","0","1","0","6","4","47","20"
"shrewsbury town","2003-04","football conference","34","13","2","0","0","0","5","2","41","15"
"shrewsbury town","2004-05","league two","36","6","1","0","1","1","2","1","40","8"
"shrewsbury town","total","total","176","65","7","0","3","1","15","7","204","73"
"crewe alexandra","2005-06","championship","26","6","0","0","0","0","0","0","26","6"
"crewe alexandra","2006-07","league one","12","3","1","0","0","0","0","0","13","3"
"crewe alexandra","total","total","38","9","1","0","0","0","0","0","39","9"
"port vale","2006-07","league one","8","3","0","0","0","0","0","0","8","3"
"port vale","2007-08","league one","36","9","3","1","1","1","1","1","41","12"
"port vale","2008-09","league two","15","4","0","0","1","1","1","0","17","5"
"port vale","total","total","59","16","3","1","2","2","2","1","66","20"
"yeovil town","2008-09","league one","22","3","0","0","0","0","0","0","22","3"
"notts county","2009-10","league two","42","13","6","1","1","0","0","0","49","14"
"notts county","2010-11","league one","4","0","1","1","0","0","0","0","5","1"
"notts county","total","total","46","13","7","2","1","0","0","0","54","15"
"new york red bulls","2011","major league soccer","23","9","0","0","2","1","0","0","25","10"
"lillestrøm sk","2012","tippeligaen","7","1","0","0","0","0","0","0","7","1"
"portsmouth","2012-13","league one","10","2","1","0","0","0","2","1","13","3"
"shrewsbury town","2012-13","league one","15","2","0","0","0","0","0","0","15","2"
"hammarby if","2013","superettan","6","0","0","0","0","0","0","0","6","0"
"forest green rovers","2013-14","conference national","10","0","0","0","0","0","0","0","10","0"
"forest green rovers","2014-15","conference national","10","0","1","1","0","0","0","0","11","1"
"forest green rovers","total","total","20","0","1","1","0","0","0","0","21","1"
"solihull moors","2016-17","national league","0","0","0","0","0","0","2","1","2","1"
"career total","career total","career total","421","120","22","4","8","4","32","10","483","138"
