"club","season","league","league","league","cup","cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"leffe calcio","1984-85","serie d","8","5","-","-","8","5","none","none"
"leffe calcio","1985-86","serie d","30","3","-","-","30","3","none","none"
"total","total","total","38","8","-","-","38","8","none","none"
"piacenza","1986-87","serie c","14","1","3","0","-","-","17","1"
"total","total","total","14","1","3","0","-","-","17","1"
"trento","1987-88","serie c","31","3","-","-","31","3","none","none"
"total","total","total","31","3","-","-","31","3","none","none"
"piacenza","1988-89","serie b","32","5","5","0","-","-","37","5"
"total","total","total","32","5","5","0","-","-","37","5"
"foggia","1989-90","serie b","34","15","-","-","34","15","none","none"
"foggia","1990-91","serie b","34","11","3","1","-","-","37","12"
"foggia","1991-92","serie a","32","11","2","0","-","-","34","11"
"total","total","total","100","37","5","1","-","-","105","38"
"lazio","1992-93","serie a","32","26","6","6","-","-","38","32"
"lazio","1993-94","serie a","24","23","1","0","3","0","28","23"
"lazio","1994-95","serie a","27","17","5","4","7","0","39","21"
"lazio","1995-96","serie a","31","24","4","1","3","1","38","26"
"lazio","1996-97","serie a","32","15","4","0","3","0","39","15"
"lazio","1997-98","serie a","6","2","4","5","3","2","13","9"
"total","total","total","152","107","24","16","19","3","195","126"
"sampdoria","1997-98","serie a","17","3","-","-","17","3","none","none"
"total","total","total","17","3","-","-","17","3","none","none"
"bologna","1998-99","serie a","28","15","5","1","11","6","461","231"
"bologna","1999-2000","serie a","31","15","1","0","6","4","38","19"
"bologna","2000-01","serie a","23","15","2","1","-","-","25","16"
"bologna","2001-02","serie a","14","3","1","0","-","-","15","3"
"bologna","2002-03","serie a","24","12","-","-","3","2","27","14"
"bologna","2003-04","serie a","22","6","1","0","-","-","23","6"
"total","total","total","142","66","10","2","20","12","174","81"
"career total","career total","career total","526","230","47","19","39","15","614","265"
