"","median debt","median debt","median debt","median assets","median assets","median assets"
"","1999","2016","change","1999","2016","change"
"","2016 constant dollars","2016 constant dollars","2016 constant dollars","2016 constant dollars","2016 constant dollars","2016 constant dollars"
"senior families with debt","9,000","25,000","16,000","327,000","607,400","280,400"
"sex of major income earner","","","","","",""
"male","13,800","30,000","16,200","408,700","682,400","273,700"
"female","4,700","20,000","15,300","198,200","489,400","291,200"
"age of major income earner","","","","","",""
"65 to 69","13,300","35,500","22,200","403,400","668,300","264,900"
"70 to 74","10,400","21,000","10,600","278,600","657,000","378,400"
"75 to 79","5,500","25,000","19,500","253,900","576,200","322,300"
"80 and over","f","f","f","256,000","449,200","193,200"
"highest level of education of major income earner","","","","","",""
"less than high school","4,800","20,000","15,200","237,300","310,900","73,600"
"high school diploma","f","19,000","f","357,200","472,600","115,400"
"non-university postsecondary certificate or diploma","10,100","23,000","12,900","360,700","609,900","249,200"
"university degree or certificate","26,300","46,100","19,800","766,700","1,164,700","398,000"
"family structure","","","","","",""
"unattached individual","3,500","13,000","9,500","179,700","301,000","121,300"
"male","f","12,200","f","259,800","315,200","55,400"
"female","f","13,800","f","163,700","279,000","115,300"
"couple, no children","13,800","35,000","21,200","425,000","802,900","377,900"
"other family types","f","f","f","357,200","882,400","525,200"
"immigrant status of major income earner","","","","","",""
"immigrant","15,800","40,100","24,300","363,500","794,700","431,200"
"canadian-born","8,300","21,000","12,700","321,400","557,700","236,300"
"home ownership status","","","","","",""
"owners with a mortgage","66,300","120,000","53,700","407,600","728,300","320,700"
"owners without a mortgage","6,900","18,000","11,100","421,600","849,000","427,400"
"non-owners","2,100","5,000","2,900","54,200","70,300","16,100"
"labour force status of major income earner","","","","","",""
"employee","f","77,000","f","500,100","716,700","216,600"
"self-employed","69,100","95,300","26,200","665,000","1,116,400","451,400"
"not in the labour force","7,200","19,000","11,800","304,300","548,800","244,500"
"family income quintile","","","","","",""
"bottom quintile","3,500","8,000","4,500","69,900","93,500","23,600"
"second quintile","5,500","13,600","8,100","149,300","339,500","190,200"
"middle quintile","9,700","21,000","11,300","328,600","630,500","301,900"
"fourth quintile","13,900","45,000","31,100","501,600","957,200","455,600"
"top quintile","f","74,000","f","750,000","1,538,800","788,800"
"province or region of residence","","","","","",""
"atlantic","6,900","18,000","11,100","185,500","408,100","222,600"
"quebec","8,300","16,500","8,200","275,200","406,000","130,800"
"ontario","8,600","32,000","23,400","420,400","775,100","354,700"
"manitoba","f","25,000","f","274,900","595,000","320,100"
"saskatchewan","f","f","f","342,100","745,200","403,100"
"alberta","15,200","53,400","38,200","349,800","695,000","345,200"
"british columbia","13,800","31,000","17,200","367,700","850,100","482,400"
