"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"everton","1983-84","first division","1","0","0","0","0","0","1","0"
"everton","1984-85","first division","2","0","0","0","0","0","2","0"
"everton","total","total","3","0","0","0","0","0","3","0"
"shrewsbury town","1985-86","second division","31","1","1","0","5","0","37","1"
"shrewsbury town","1986-87","second division","6","0","0","0","3","0","9","0"
"shrewsbury town","total","total","37","1","1","0","8","0","46","1"
"brighton & hove albion","1986-87","second division","26","2","2","0","1","0","29","2"
"port vale","1987-88","third division","43","1","7","0","3","0","53","1"
"port vale","1988-89","third division","44","0","3","0","9","0","56","0"
"port vale","1989-90","second division","38","1","0","3","0","5","46","1"
"port vale","1990-91","second division","17","0","0","0","1","0","18","0"
"port vale","1991-92","second division","42","2","1","0","6","0","49","2"
"port vale","total","total","184","4","14","0","24","0","222","4"
"northampton town","1994-95","third division","13","0","0","0","0","0","13","0"
"northampton town","1995-96","third division","8","0","0","0","1","0","9","0"
"northampton town","total","total","21","0","0","0","1","0","22","0"
"exeter city","1995-96","third division","26","0","1","0","0","0","27","0"
"exeter city","1996-97","third division","36","1","1","0","3","0","40","1"
"exeter city","total","total","62","1","2","0","3","0","67","1"
"career total","career total","career total","333","8","19","0","37","0","388","8"
