"province or territory of residence","number","as a percent of all visible minority females in canada","as a percent of all females in province or territory"
"canada","3,221,740","100.0","19.3"
"newfoundland and labrador","3,180","0.1","1.2"
"prince edward island","2,240","0.1","3.2"
"nova scotia","23,300","0.7","5.0"
"new brunswick","8,480","0.3","2.3"
"quebec","431,695","13.4","11.0"
"ontario","1,697,085","52.7","26.2"
"manitoba","77,280","2.4","13.0"
"saskatchewan","30,820","1.0","6.1"
"alberta","329,985","10.2","18.6"
"british columbia","614,905","19.1","28.0"
"yukon","1,100","0.0","6.7"
"northwest territories","1,430","0.0","7.1"
"nunavut","260","0.0","1.7"
