"season","domestic league","domestic league","domestic league","domestic cup","domestic cup","european cup","european cup"
"season","competition","final position","points","competition","performance","competition","performance"
"1999-00","premiership","5th","35","tetley bitter cup","finalist","heineken cup","champions"
"2000-01","premiership","4th","59","powergen cup","quarter final","heineken cup","group stage"
"2001-02","premiership","5th","56","powergen cup","finalist","heineken cup","group stage"
"2002-03","premiership","3rd","62","powergen cup","finalist","heineken cup","quarter final"
"2003-04","premiership","3rd","70","powergen cup","6th round","heineken cup","group stage"
"2004-05","premiership","11th","40","powergen cup","quarter final","heineken cup","quarter final"
"2005-06","premiership","6th","53","powergen cup","group stage","challenge cup","quarter final"
"2006-07","premiership","12th","33","edf energy cup","group stage","heineken cup","semi final"
"2007-08","division one","champions","143","edf energy trophy","champions","dnq","dnq"
"2008-09","premiership","8th","49","edf energy cup","semi final","challenge cup","champions"
"2009-10","premiership","2nd","71","lv cup","champions","heineken cup","quarter final"
"2010-11","premiership","4th","65","lv cup","group stage","heineken cup","finalist"
"2011-12","premiership","4th","65","lv cup","finalist","heineken cup","group stage"
"2012-13","premiership","4th","65","lv cup","group stage","heineken cup","group stage"
"2013-14","premiership","2nd","78","lv cup","finalist","heineken cup","group stage"
"2014-15","premiership","1st","76","lv cup","semi final","champions cup","quarter final"
"2015-16","premiership","5th","60","-","-","champions cup","quarter final"
"2016-17","premiership","7th","52","lv cup","group stage","champions cup","group stage"
"2017-18","premiership","9th","43","anglo-welsh cup","semi final","champions cup","group stage"
"2018-19","premiership","none","none","premiership rugby cup","champions","challenge cup","quarter final"
