"source","union","union","union","union","confederate","confederate","confederate","confederate"
"source","killed","wounded","captured/ missing","total","killed","wounded","captured/ missing","total"
"national park service","none","none","none","18,400","none","none","none","11,400"
"bonekemper, victor, not a butcher","2,246","12,037","3,383","17,666","1,495","7,928","1,702","11,125"
"catton, grant takes command","2,265","10,220","2,902","15,387","none","none","none","none"
"eicher, longest night","2,246","12,037","3,383","17,666","none","none","none","7,750-11,400"
"esposito, west point atlas","none","none","none","15,000-18,000","none","none","none","c. 7,500"
"foote, civil war","none","none","none","17,666","none","none","none","7,800"
"fox, regimental losses","2,246","12,037","3,383","17,666","none","none","none","none"
"mcpherson, battle cry","none","none","none","17,500","none","none","none","under 10,500"
"rhea, battle of the wilderness","none","none","none","over 17,666","none","none","none","about 11,000"
"smith, grant","2,261","8,785","2,902","13,948","none","none","none","none"
"young, lee's army","none","none","none","none","1,477","7,866","1,690","11,033"
