"","care facility","supportive housing","at home, separate households","at home, shared household"
"","percentage","percentage","percentage","percentage"
"hours of care or help per week","","","",""
"1 or less","28","34","33","7"
"2 to 4","32","38","37","21"
"5 to 9","18","13","15","16"
"10 or more","22","15","15","56"
"types of care or help provided to primary care receiver, at least weekly","","","",""
"transportation","25","35","34","64"
"meal preparation, housework, dishes","17","22","24","75"
"personal care","21","12","8","33"
"medical treatments or procedures","7","8","8","36"
"scheduling or coordinating care-related tasks","9","11","8","24"
"banking, paying bills or managing finances","17","15","7","21"
"","predicted probabilities","predicted probabilities","predicted probabilities","predicted probabilities"
"provided 10 hours of care or more per week","0.19","0.15","0.15","0.56"
"type of care or help provided to primary care receiver, at least weekly","","","",""
"transportation","0.24","0.35","0.35","0.64"
"meal preparation, housework, dishes","0.15","0.22","0.24","0.75"
"personal care","0.18","0.12","0.08","0.32"
"medical treatments or procedures","0.06","0.08","0.08","0.36"
"scheduling or coordinating care-related tasks","0.08","0.11","0.08","0.24"
"banking, paying bills or managing finances","0.15","0.14","0.07","0.21"
