"","model 1","model 2","model 3","model 4","model 5","model 6"
"","beta coefficients","beta coefficients","beta coefficients","beta coefficients","beta coefficients","beta coefficients"
"intercept","8.10","9.11","9.03","8.69","8.68","8.86"
"mode","","","","","",""
"cchs personal interview","-0.16","-0.07","0.01","0.00","-0.01","0.02"
"carrot application","-1.70","-1.63","-1.61","-1.13","-0.97","-0.92"
"model includes","","","","","",""
"sex","..","yes","yes","yes","yes","yes"
"age","..","yes","yes","yes","yes","yes"
"highest education level","..","yes","yes","yes","yes","yes"
"marital status","..","yes","yes","yes","yes","yes"
"immigration status","..","yes","yes","yes","yes","yes"
"province of residence","..","yes","yes","yes","yes","yes"
"urban/rural place of residence","..","yes","yes","yes","yes","yes"
"main activity","..","..","yes","yes","yes","yes"
"household income","..","..","yes","yes","yes","yes"
"self-assessed general health","..","..","..","yes","yes","yes"
"self-assessed mental health","..","..","..","..","yes","yes"
"sense of belonging to local community","..","..","..","..","..","yes"
