"year","team","g","rushing","rushing","rushing","rushing","rushing","rushing","rushing","rushing","receiving","receiving","receiving","receiving","receiving","receiving","receiving","receiving","receiving"
"year","team","g","att","yds","avg","lng","tds","1st","fum","lst","rec","tgt","yds","avg","lng","tds","1st","fum","lst"
"2011","ne","5","15","57","3.8","19","1","2","0","0","-","-","-","-","-","-","-","-","-"
"2012","ne","13","62","251","4.0","16","3","15","0","0","8","13","149","18.6","83","1","6","1","1"
"2013","ne","8","44","208","4.7","21","1","10","1","0","47","69","427","9.1","50","3","25","0","0"
"2014","ne","16","96","391","4.1","19","2","15","0","0","52","77","447","8.6","49","3","24","0","0"
"2015","nyg","16","61","260","4.3","39","0","13","0","0","59","81","495","8.4","37","4","23","0","0"
"2016","nyg","5","33","158","4.8","25","1","8","1","1","11","19","94","8.5","16","0","4","1","1"
"2017","nyg","16","45","164","3.6","17","0","3","0","0","44","53","253","5.8","20","0","7","0","0"
"career","career","79","356","1,489","4.2","39","8","66","2","1","221","312","1,865","8.4","83","11","89","2","2"
"source:","source:","source:","source:","source:","source:","source:","source:","source:","source:","source:","source:","source:","source:","source:","source:","source:","source:","source:","source:"
