"event","athlete","race 1","race 1","race 2","race 2","final","final"
"event","athlete","time","rank","time","rank","time","rank"
"500 m","jan bos","36.149","31","36.111","29","72.26","29"
"500 m","simon kuipers","35.662","23","35.669","20","71.33","20"
"500 m","ronald mulder","35.155","11","35.146","10","70.30","11"
"500 m","jan smeekens","35.160","12","35.051","4","70.21","6"
"1000 m","jan bos","none","none","none","none","1:10.29","12"
"1000 m","stefan groothuis","none","none","none","none","1:09.45","4"
"1000 m","simon kuipers","none","none","none","none","1:09.65","6"
"1000 m","mark tuitert","none","none","none","none","1:09.48","5"
"1500 m","stefan groothuis","none","none","none","none","1:48.03","16"
"1500 m","sven kramer","none","none","none","none","1:47.40","13"
"1500 m","simon kuipers","none","none","none","none","1:46.76","7"
"1500 m","mark tuitert","none","none","none","none","1:45.57 tr","none"
"5000 m","jan blokhuijsen","none","none","none","none","6:26.30","9"
"5000 m","bob de jong","none","none","none","none","6:19.02","5"
"5000 m","sven kramer","none","none","none","none","6:14.60 or","none"
"10,000 m","bob de jong","none","none","none","none","13:06.73","none"
"10,000 m","arjen van der kieft","none","none","none","none","13:33.37","9"
"10,000 m","sven kramer","none","none","none","none","dsq","-"
