"employment characteristic","women","women","men","men"
"employment characteristic","with disabilities","without disabilities","with disabilities","without disabilities"
"employment characteristic","percent","percent","percent","percent"
"labour statistics","","","",""
"employment rate","53.1","78.8","57.4","87.5"
"unemployment rate","13.4","5.6","9.5","5.6"
"labour force participation rate","61.3","83.4","63.4","92.8"
"hours worked per week","","","",""
"less than 30 hours","42.1","37.0","29.1","11.9"
"30 to 40 hours","48.0","51.3","48.5","54.4"
"41 to 50 hours","5.8","8.5","14.4","23.8"
"more than 50 hours","4.0","f","8.0","9.9"
