"year","single","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","certifications","album"
"year","single","us","us adult","us ac","us pop","aus","ire","nl","nz","nor","uk","certifications","album"
"2000","easy tonight","-","26","-","-","-","-","88","24","-","-","none","america town"
"2001","superman","14","1","2","15","2","5","43","2","12","48","aus: platinum us: gold","america town"
"2002","easy tonight","-","18","-","-","-","-","-","20","-","-","none","america town"
"2002","america town","-","-","-","-","-","-","-","-","-","-","none","america town"
"2003","something about you","-","-","-","-","-","-","-","-","-","-","none","america town"
"2003","100 years","28","3","1","40","32","-","-","32","-","-","us: platinum","the battle for everything"
"2004","the devil in the wishing well","-","23","-","-","-","-","-","-","-","-","none","the battle for everything"
"2004","silent night","-","-","2","-","-","-","-","-","-","-","none","the battle for everything"
"2005","if god made you","-","-","20","-","-","-","-","-","-","-","none","the battle for everything"
"2006","the riddle","40","8","4","-","-","-","-","-","-","-","none","two lights"
"2006","world","-","14","-","-","-","-","-","-","-","-","none","two lights"
"2007","i just love you","-","-","24","-","-","-","-","-","-","-","none","two lights"
"2009","chances","83","14","8","-","-","-","-","-","-","-","none","slice"
"2010","slice","-","33","11","-","-","-","-","-","-","-","none","slice"
"2013","what if","-","29","28","-","-","-","-","-","-","-","none","bookmarks"
"2017","christmas where you are","-","-","11","-","-","-","-","-","-","-","none","tba"
""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart"
