"club","season","league","league","league","national cup","national cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"mandalskameratene","2007","adeccoligaen","8","0","0","0","","","8","0","none","none"
"mandalskameratene","total","total","8","0","0","0","","","","","8","0"
"valerenga","2009","tippeligaen","5","0","2","0","","","7","0","none","none"
"valerenga","2010","tippeligaen","28","1","1","0","","","29","1","none","none"
"valerenga","2011","tippeligaen","26","1","2","1","4","0","","","32","2"
"valerenga","total","total","59","2","5","1","4","0","","","68","3"
"bryne","2009","adeccoligaen","4","0","0","0","","","4","0","none","none"
"bryne","total","total","4","0","0","0","","","","","4","0"
"rosenborg","2012","tippeligaen","23","2","3","1","10","0","","","36","3"
"rosenborg","2013","tippeligaen","23","1","6","0","2","0","","","31","1"
"rosenborg","2014","tippeligaen","20","1","2","0","5","0","","","27","1"
"rosenborg","2015","tippeligaen","13","0","2","0","","","15","0","none","none"
"rosenborg","total","total","79","4","13","1","17","0","","","109","5"
"krasnodar","2015-16","russian premier league","15","0","0","0","8","0","","","23","0"
"krasnodar","2016-17","russian premier league","1","0","0","0","2","0","","","3","0"
"krasnodar","2017-18","russian premier league","0","0","0","0","","","0","0","none","none"
"krasnodar","total","total","16","0","0","0","10","0","","","26","0"
"hannover 96","2016-17","2. bundesliga","12","0","1","0","","","13","0","none","none"
"hannover 96","total","total","12","0","1","0","","","","","13","0"
"ural","2018-19","russian premier league","4","0","0","0","","","4","0","none","none"
"ural","total","total","4","0","0","0","","","","","4","0"
"career total","career total","career total","182","6","19","2","31","0","","","232","8"
