"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"corinthians","2011","serie a","0","0","0","0","0","0","0","0","0","0"
"corinthians","2012","serie a","8","0","0","0","0","0","1","0","9","0"
"corinthians","2013","serie a","2","0","0","0","0","0","6","0","8","0"
"corinthians","total","total","10","0","0","0","0","0","7","0","17","0"
"portuguesa","2013","serie a","13","0","0","0","2","0","0","0","15","0"
"chapecoense","2014","serie a","2","0","1","0","0","0","13","1","15","1"
"atletico goianiense","2014","serie b","13","0","0","0","0","0","0","0","13","0"
"botafogo","2015","serie b","35","5","4","1","0","0","19","1","58","7"
"flamengo","2016","serie a","37","4","4","0","2","0","19","3","62","7"
"flamengo","2017","serie a","30","1","6","0","16","4","15","4","67","9"
"flamengo","2018","serie a","23","2","3","0","3","0","3","0","32","2"
"flamengo","2019","serie a","0","0","0","0","0","0","0","0","0","0"
"flamengo","total","total","90","7","12","0","21","4","36","7","161","18"
"career total","career total","career total","148","10","16","0","23","4","75","9","262","26"
