"","before legalization","before legalization","before legalization","before legalization","after legalization","after legalization","after legalization","after legalization"
"","'000","%","95% confidence interval","95% confidence interval","'000","%","95% confidence interval","95% confidence interval"
"","'000","%","from","to","'000","%","from","to"
"cannabis expenditures in the past 3 months","","","","","","","",""
"$0","","","","","","","",""
"grown by the user or another person","152.1","10.4","7.7","13.9","170.0","14.0","10.3","18.8"
"illegal","347.6","23.7","19.6","28.3","313.6","25.8","21.0","31.3"
"legal","110.1","7.5","4.8","11.5","143.3","11.8","9.1","15.2"
"only legal","34.3","2.3","1.3","4.2","60.7","5.0","3.3","7.5"
"friends and family","1,130.7","77.1","72.6","81.0","848.3","69.8","64.8","74.4"
"other","46.7","3.2","2.0","5.1","53.1","4.4","2.7","6.9"
"$1 to $50","","","","","","","",""
"grown by the user or another person","36.9","5.2","3.1","8.8","78.4","7.2","4.5","11.5"
"illegal","424.9","60.4","52.8","67.4","375.3","34.7","29.3","40.5"
"legal","134.0","19.0","13.6","26.0","693.4","64.0","58.3","69.3"
"only legal","67.4","9.6","6.1","14.8","466.4","43.1","37.6","48.8"
"friends and family","329.9","46.9","38.8","55.1","346.6","32.0","26.7","37.8"
"other","f","f","..","..","f","f","..",".."
"$51 to $250","","","","","","","",""
"grown by the user or another person","95.9","7.8","5.6","10.6","136.3","7.6","5.8","10.0"
"illegal","800.6","64.7","59.1","69.9","743.8","41.6","37.3","46.0"
"legal","355.8","28.8","24.1","34.0","1,212.9","67.8","63.6","71.7"
"only legal","201.4","16.3","12.5","20.9","715.1","40.0","35.6","44.5"
"friends and family","399.8","32.3","27.0","38.1","442.5","24.7","20.8","29.2"
"other","60.8","4.9","3.0","7.9","50.2","2.8","1.7","4.6"
"$251 or more","","","","","","","",""
"grown by the user or another person","108.2","10.6","6.8","16.1","120.9","12.2","8.8","16.7"
"illegal","715.9","70.1","64.2","75.4","615.2","62.0","56.4","67.3"
"legal","401.4","39.3","33.1","45.9","588.6","59.4","53.6","64.8"
"only legal","169.0","16.6","12.6","21.4","241.4","24.3","19.7","29.7"
"friends and family","290.4","28.4","22.5","35.3","287.8","29.0","24.1","34.5"
"other","43.0","4.2","2.4","7.3","33.3","3.4","2.1","5.3"
