"year","team","games","games","tackles","tackles","tackles","tackles","fumbles","fumbles","fumbles","interceptions","interceptions","interceptions","interceptions","interceptions","interceptions"
"year","team","gp","gs","comb","total","ast","sack","ff","fr","yds","int","yds","avg","lng","td","pd"
"2011","den","16","4","72","62","10","0.0","0","0","0","1","15","15.0","15","0","6"
"2012","den","15","12","61","51","10","2.5","0","0","0","3","144","48.0","98","2","12"
"2013","den","16","15","65","58","7","0.0","0","0","0","3","1","0.3","1","0","14"
"2014","den","16","16","54","50","4","1.0","1","1","0","3","52","17.3","38","0","17"
"2015","den","16","16","58","49","9","0.0","2","0","0","2","94","47.0","74","1","6"
"2016","den","16","15","63","57","6","0.0","1","1","6","2","36","18.0","36","0","11"
"2017","den","16","15","40","32","8","0.0","1","0","0","2","36","18.0","23","0","7"
"2018","den","12","12","49","40","9","1.0","0","0","0","3","68","22.7","53","1","10"
"career","career","123","105","462","399","63","4.5","5","2","6","19","446","23.5","98","4","83"
