"club","season","league","league","league","national cup","national cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"carshalton athletic","2013-14","isthmian league premier division","1","0","0","0","0","0","0","0","1","0"
"carshalton athletic","2014-15","isthmian league division one south","38","7","2","1","0","0","1","0","41","8"
"carshalton athletic","2015-16","isthmian league division one south","34","8","3","0","0","0","1","0","38","8"
"carshalton athletic","2016-17","isthmian league division one south","46","16","3","4","0","0","1","0","50","20"
"carshalton athletic","2017-18","isthmian league south division","27","18","3","3","0","0","3","4","33","25"
"carshalton athletic","total","total","146","49","11","8","0","0","6","4","163","61"
"hamilton academical","2017-18","scottish premiership","6","0","0","0","0","0","0","0","6","0"
"hamilton academical","2018-19","scottish premiership","21","4","1","0","4","3","0","0","26","7"
"hamilton academical","total","total","27","4","1","0","4","3","0","0","32","7"
"career total","career total","career total","173","53","12","8","4","3","6","4","195","68"
