"ethnic group","27 january-3 february, 1999 census","27 january-3 february, 1999 census","13-22 april, 2009 census","13-22 april, 2009 census"
"ethnic group","population","%","population","%"
"total","136 845","100.00","152 452","100.00"
"azerbaijanis","120 502","88.06","98 774","62.22"
"khinalug","120 502","88.06","2 177","1.43"
"qriz","120 502","88.06","778","0.51"
"tat people","1 088","0.80","13 880","9,1"
"lezgins","9 312","6.80","8 952","5.87"
"jews","2 819","2.06","2 705","1.77"
"turkish people","2 615","1.91","2 159","1.42"
"russians","321","0.23","135","0.09"
"tatars","85","0.06","63","0.04"
"ukrainians","32","0.02","13","0.01"
"talysh people","","","10",""
"georgians","14","0.01","5","0.00"
"armenians","7","0.01","",""
"others","50","0.04","801","0.53"
