"census metropolitan area","population","total crime severity index","total crime severity index","total crime severity index","violent crime severity index","violent crime severity index","non-violent crime severity index","non-violent crime severity index"
"census metropolitan area","number","index","percent change 2015 to 2016","percent change 2006 to 2016","index","percent change 2015 to 2016","index","percent change 2015 to 2016"
"st. john's","207,695","79.2","7","-14","88.9","11","75.5","5"
"halifax","426,083","61.0","-4","-50","77.3","-5","55.0","-3"
"moncton","157,321","75.7","-4","..","79.3","7","74.2","-7"
"saint john","127,930","52.7","-6","..","63.8","-3","48.5","-7"
"saguenay","167,054","56.9","6","-2","67.7","10","52.9","4"
"quebec","800,570","45.2","8","-38","51.5","17","42.8","4"
"sherbrooke","199,344","50.3","1","-38","55.6","25","48.2","-6"
"trois-rivieres","156,649","48.7","-14","-34","46.2","-23","49.5","-10"
"montreal","4,102,619","57.8","-5","-44","73.1","-4","52.1","-5"
"gatineau","331,114","56.7","6","-34","63.8","15","54.0","3"
"ottawa","1,013,615","51.3","10","-37","62.1","15","47.2","8"
"kingston","167,773","55.2","-2","-30","38.5","-29","61.2","7"
"peterborough","123,555","55.1","0","-31","68.9","20","50.0","-7"
"toronto","6,184,845","47.5","4","-35","70.4","8","39.1","2"
"hamilton","760,381","53.6","6","-37","66.0","20","49.0","0"
"st. catharines-niagara","453,817","50.3","-4","-41","37.6","-11","54.9","-1"
"kitchener-cambridge-waterloo","548,936","61.2","1","-23","60.1","8","61.4","-1"
"brantford","146,557","86.8","13","-24","88.4","27","86.0","8"
"guelph","132,350","54.6","9","-9","49.1","1","56.5","12"
"london","515,409","68.4","5","-33","59.4","5","71.5","5"
"windsor","334,859","65.1","4","-27","58.1","-12","67.6","11"
"barrie","216,661","45.4","5","-42","46.3","6","45.0","4"
"greater sudbury","165,154","63.5","7","-29","61.4","-5","64.2","12"
"thunder bay","120,520","85.9","6","-23","125.6","4","71.2","8"
"winnipeg","795,643","103.9","16","-37","149.6","20","87.0","14"
"regina","247,634","125.8","15","-36","124.1","14","126.2","15"
"saskatoon","320,527","117.8","5","-29","114.0","1","118.9","6"
"calgary","1,474,624","74.6","-6","-23","61.3","-16","79.3","-2"
"edmonton","1,387,281","105.7","3","-19","102.5","-2","106.7","5"
"kelowna","196,940","100.3","0","-29","62.7","-15","113.7","4"
"abbotsford-mission","186,274","91.4","-5","-36","82.3","-8","94.4","-4"
"vancouver","2,551,096","94.3","-1","-32","72.8","-14","102.0","3"
"victoria","371,057","63.8","-12","-45","56.8","-18","66.2","-9"
"canada","36,286,425","71.0","1","-29","75.3","0","69.3","2"
