"","1941","1942","1943","1944","1945","1946"
"","probabilities","probabilities","probabilities","probabilities","probabilities","probabilities"
"average annual unemployment rate of ers","","","","","",""
"men","","","","","",""
"low","41.3","36.6","34.5","33.0","33.6","36.6"
"moderate","46.2","41.8","39.2","36.1","36.0","38.1"
"high","56.1","52.5","49.5","43.1","41.2","41.4"
"women","","","","","",""
"low","65.6","59.9","51.1","53.4","49.8","47.8"
"moderate","74.6","70.0","58.9","58.7","55.2","51.6"
"high","88.2","86.3","74.0","69.4","66.3","59.2"
