"characteristics","aboriginal people","non-aboriginal people"
"characteristics","percent","percent"
"number of offenders","",""
"one","71","75"
"two","f","7"
"three or more","f","11"
"don't know/not stated","f","7"
"sex of offender","",""
"male","91","86"
"female","9","14"
"age of the offender","",""
"less than 25","47","36"
"25 to 44","43","39"
"45 and over","f","22"
"relationship of offender to the victim","",""
"person known to the victim","55","43"
"stranger","39","48"
"other","f","8"
"location of the incident","",""
"private residence of the victim or other private residence","48","33"
"commercial or institutional establishment","41","39"
"street or other public place","11","22"
"other","f","2"
"presence of a weapon","",""
"yes","23","26"
"no","75","69"
"don't know/not stated","f","6"
"incident related to the offender's alcohol or drug use","",""
"yes","69","52"
"no","26","37"
"don't know/not stated","f","11"
"caused physical injuries","",""
"yes","17","20"
"no","83","80"
