"club","season","league","league","cup","cup","total","total"
"club","season","apps","goals","apps","goals","apps","goals"
"west bromwich albion","1946-47","2","0","0","0","2","0"
"west bromwich albion","1947-48","21","4","0","0","21","4"
"west bromwich albion","1948-49","1","0","0","0","1","0"
"west bromwich albion","total","24","4","0","0","24","4"
"fulham","1948-49","22","19","?","0","?","19"
"fulham","1949-50","34","8","?","0","?","8"
"fulham","total","56","27","3","0","59","27"
"leicester city","1950-51","39","28","1","0","40","28"
"leicester city","1951-52","42","38","2","0","44","38"
"leicester city","1952-53","41","39","1","2","42","41"
"leicester city","1953-54","42","30","8","6","50","36"
"leicester city","1954-55","36","23","1","0","37","23"
"leicester city","1955-56","36","29","3","6","39","35"
"leicester city","1956-57","42","44","1","0","43","44"
"leicester city","1957-58","25","20","1","0","26","20"
"leicester city","total","303","251","18","14","321","265"
"shrewsbury town","1958-59","43","38","?","?","?","?"
"shrewsbury town","1959-60","41","32","?","?","?","?"
"shrewsbury town","1960-61","40","28","?","?","?","?"
"shrewsbury town","1961-62","41","23","?","?","?","?"
"shrewsbury town","1962-63","40","24","?","?","?","?"
"shrewsbury town","1963-64","19","5","?","?","?","?"
"shrewsbury town","1964-65","12","2","?","?","?","?"
"shrewsbury town","total","236","152","19","11","255","163"
"career total","career total","619","434","40","25","659","459"
