"visible minority group","total","canadian-born","immigrant"
"visible minority group","percentage","percentage","percentage"
"visible minority","9.3","6.7","9.8"
"south asian","10.7","6.3","11.3"
"chinese","7.7","5.3","8.1"
"black","11.2","8.8","11.7"
"filipino","4.7","5.0","5.2"
"latin american","10.5","9.0","10.4"
"arab","16.0","7.2","16.7"
"southeast asian","8.9","6.2","9.3"
"west asian","13.7","10.8","13.8"
"korean","9.3","5.6","9.6"
"japanese","6.1","3.2","9.2"
"other visible minority","9.0","7.5","9.0"
"multiple visible minorities","8.4","9.0","8.2"
"not a visible minority","5.3","5.2","6.5"
