"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"colchester united","2014-15","league one","0","0","0","0","0","0","0","0","0","0"
"welling united","2015-16","national league","38","1","3","0","-","-","1","0","42","1"
"maidstone united","2016-17","national league","41","4","3","0","-","-","2","0","46","4"
"stevenage","2017-18","league two","2","0","-","-","0","0","0","0","2","0"
"dagenham & redbridge","2017-18","national league","25","2","2","0","-","-","1","0","28","2"
"dover athletic","2017-18","national league","12","1","-","-","12","1","none","none","none","none"
"dover athletic","2018-19","national league","39","6","2","0","-","-","1","0","42","6"
"dover athletic","total","total","51","7","2","0","-","-","1","0","54","7"
"career total","career total","career total","157","14","10","0","0","0","5","0","172","14"
