"club","season","league","league","league","continental","continental","national","national","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"atasehir belediyespor","2008-09","second league","6","8","-","-","4","1","10","9"
"atasehir belediyespor","2009-10","first league","17","8","-","-","9","0","26","8"
"atasehir belediyespor","2010-11","first league","22","10","-","-","1","0","23","10"
"atasehir belediyespor","2011-12","first league","21","6","3","0","0","0","24","6"
"atasehir belediyespor","2012-13","first league","7","0","3","0","0","0","20","0"
"atasehir belediyespor","total","total","73","32","6","0","14","1","93","33"
"ilkadım belediyespor","2012-13","second league","1","0","-","-","0","0","1","0"
"ilkadım belediyespor","2013-14","second league","13","8","-","-","0","0","13","8"
"ilkadım belediyespor","2014-15","first league","16","6","-","-","0","0","16","6"
"ilkadım belediyespor","total","total","30","14","-","-","0","0","30","14"
"dudullu","2016-17","third league","14","23","-","-","0","0","14","23"
"dudullu","2017-18","third league","3","5","-","-","0","0","3","5"
"dudullu","total","total","17","28","-","-","0","0","17","28"
"ilkadım belediyespor","2017-18","first league","11","2","-","-","0","0","11","2"
"ilkadım belediyespor","total","total","11","2","-","-","0","0","11","2"
"career total","career total","career total","131","76","6","0","14","1","151","77"
